record_id,Count (classes),Count (horses),trainer,trainers,source,horse,horses,Count (entries),rider_display,rec_id,entries,rider,entry_go_times,wec-alerts,class_oog,class_oog copy,class_results,cwf
rec7XYSluLDsrEm1b,0,1,Shannon Y. Clifford,"[""recUlyG8wMwlKopQw""]",class_oog,Big Castle,"[""recrvn328Tmv7HfxZ""]",1,Shannon,rec7XYSluLDsrEm1b,"[""recpXueurS377Mrkk""]",Shannon Y. Clifford,,,,,,
rec7f7BAxJlquItEu,0,1,Stephanie Free,"[""recBVRfeR9i4COiwE""]",class_oog,Spot On,"[""rec1LOPTSEvOn9Czl""]",1,Allison,rec7f7BAxJlquItEu,"[""rect1d7lN7ldDNNRM""]",Allison Wise,,,,,,
rec7t3G7rY0SFDSwO,0,2,Richard A. Spooner,"[""reczNfVkVVBnpCR5D""]",class_oog,Lyjanair,"[""recoePvez1dUpMQU8"",""recwyDBYG3PDDvYQA""]",2,Richard,rec7t3G7rY0SFDSwO,"[""recBjezp7voIF02N8"",""rec7dFt7LqAIZa3sg""]",Richard A. Spooner,,,,,,
rec7wgjXCOF4uxl6i,0,2,Kelsey Duffy,"[""recJe0LFDSWmZkYs4""]",class_oog,V.h. Paris Fox,"[""recacDysjHQBziLIW"",""recdd1BVXpCTjOogN""]",2,Marlow,rec7wgjXCOF4uxl6i,"[""recuddIKIuwNLGEe2"",""rec55QuaBFAQFcsdh""]",Marlow Rickun,,,,,,
rec7zPNAjOrAi3nVJ,0,2,Patrick R. Wilcher,"[""recU1AQcmSYuCkBtn""]",class_oog,Psj Hana 6,"[""recguRqJ7rOKiuHTB"",""recMi4Gk4sjKerTep""]",1,Maja,rec7zPNAjOrAi3nVJ,"[""recs0olEcPhG6L0j3""]",Maja Mossberg,,,,,,
rec80MabN4TywgT9f,0,1,Marissa Creviston,"[""recUr6Fi772oNLJ5v""]",class_oog,Delta Blues,"[""recKf2iviypuesPFP""]",3,Marissa,rec80MabN4TywgT9f,"[""recutvWECAJbYHvFO"",""recbkPoe4t8Irl2NP"",""reciUYPuxHcgL26wE""]",Marissa Creviston,,,,,,
rec8ChXFoOgj2B53g,0,1,Stefano Baruzzo,"[""recqebjIKM3r0tkep""]",class_oog,Arthur,"[""recOEUEDDZHmRlkKO""]",1,Stefano,rec8ChXFoOgj2B53g,"[""recbhoeEZbeIiWOod""]",Stefano Baruzzo,,,,,,
rec8CvnauqvLMVUf0,0,1,Antonio J. Martinez,"[""recoIakTck18pHikM""]",class_oog,Lisdeen Lady Kvj,"[""recCO6qdAsYAySo1B""]",1,Ellie,rec8CvnauqvLMVUf0,"[""recEowePriWsC8ik3""]",Ellie Zimmerman,,,,,,
rec8GL7h1CWWbSviG,0,1,Debra L. Ward,"[""recp8AfepuIJngrGM""]",class_oog,Copernicus Z,"[""recjoyTU6vFi9Vio0""]",1,Grace,rec8GL7h1CWWbSviG,"[""recStFvN12aPsOfGR""]",Grace Phan,,,,,,
rec8KP4FWbKeaxKB3,0,3,Tom Monaghan,"[""rec0mxYvqyiMsXHtK""]",class_oog,Malmo 54,"[""recwhyo1jEAFwr2JO"",""recHcQb0mthqatoC8"",""rec4t0FzVih0kCmed""]",3,Tom,rec8KP4FWbKeaxKB3,"[""reckUoAy4E5f7VFWf"",""rec6wNQ8qnyhIyKnM"",""recYMjXkeMz3isTBm""]",Tom Monaghan,,,,,,
rec8UUBoADypKtGHQ,0,1,Stephen Dicarlo,"[""recupQMhsCpx3otEi""]",class_oog.php,Ziggy Stardust,"[""recvb5lkfvnh4qeZv""]",0,Stephen,rec8UUBoADypKtGHQ,,Stephen Dicarlo,,,,,,
rec8eowQRZXV3oVxo,0,1,Jennifer Phethean,"[""rec2XNYc72zstptO7""]",class_oog,Striking Elsa,"[""rechjHHcAV6E5Zvsx""]",1,Jennifer,rec8eowQRZXV3oVxo,"[""recFZqfjjBg2iwfJO""]",Jennifer Phethean,,,,,,
