record_id,show_no,class_name,entry_order,Last Modified,class_no,barn_name (from horses),Last Modified 2,trainer,run_id,focus_day_key,rollup_label,test,ring_day_no,Created,show_focus_key,horse,source_endpoint,class_label,horses,rider,focus_day,ring,ring_no,source_payload,entry_no,class_oog_key,heartbeat_id
recQe0qixVcbtTc8Z,14909,USHJA National Hunter Derby 3' Jr/Am,9,2026-07-03T19:50:58.000Z,26869,"[""Hurricane""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Hurricane (9),true,3604,2026-07-03T04:25:41.000Z,14909|20260703,Hurricane,class_oog.php,USHJA National Hunter Derby 3' Jr/Am,"[""rec1JTZesicDxGF08""]",Taylor Oakvik,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26869"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26869"",""entry_order"":9,""current_entry_no"":""1031"",""current_horse"":""Hurricane"",""rider"":""Taylor Oakvik"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 9 </td>\n <td>\n 1031 </td>\n <td>\n Hurricane </td>\n <td>\n Taylor Oakvik </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26869\"",\""entry_no\"":\""1031\"",\""horse\"":\""Hurricane\"",\""rider\"":\""Taylor Oakvik\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1031,14909|2026-07-03|3604|644|26869|1031,14909|2026-07-03|wec-step3-20260703T195048375Z
recRgl72ffjNATyok,14909,1.20m Amateur/Junior Jumper II.1,16,2026-07-03T19:50:35.000Z,30647,"[""Choco""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Choco (16),true,3592,2026-07-03T04:00:29.000Z,14909|20260703,Choco Du Reverdy,class_oog.php,1.20m Amateur/Junior Jumper II.1,"[""rec6OXORzccdhll6P""]",Sophie Heap,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|30647"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""30647"",""entry_order"":16,""current_entry_no"":""2388"",""current_horse"":""Choco Du Reverdy"",""rider"":""Sophie Heap"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 16 </td>\n <td>\n 2388 </td>\n <td>\n Choco Du Reverdy </td>\n <td>\n Sophie Heap </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""30647\"",\""entry_no\"":\""2388\"",\""horse\"":\""Choco Du Reverdy\"",\""rider\"":\""Sophie Heap\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",2388,14909|2026-07-03|3592|642|30647|2388,14909|2026-07-03|wec-step3-20260703T195021715Z
recXxDkIptWomNdiB,14909,1.20m Amateur/Junior Jumper II.1,3,2026-07-03T19:50:35.000Z,30647,"[""Maiki""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Maiki (3),true,3592,2026-07-03T04:00:29.000Z,14909|20260703,Maiki,class_oog.php,1.20m Amateur/Junior Jumper II.1,"[""recMWdp7zaE1i2Gzl""]",Taylor Oakvik,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|30647"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""30647"",""entry_order"":3,""current_entry_no"":""1042"",""current_horse"":""Maiki"",""rider"":""Taylor Oakvik"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 3 </td>\n <td>\n 1042 </td>\n <td>\n Maiki </td>\n <td>\n Taylor Oakvik </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""30647\"",\""entry_no\"":\""1042\"",\""horse\"":\""Maiki\"",\""rider\"":\""Taylor Oakvik\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1042,14909|2026-07-03|3592|642|30647|1042,14909|2026-07-03|wec-step3-20260703T195021715Z
recewfMG3Umju6j5O,14909,1.10m Jumper II.2b,2,2026-07-03T19:50:36.000Z,26855,"[""Dottie""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Dottie (2),true,3592,2026-07-03T04:22:38.000Z,14909|20260703,Dodicci,class_oog.php,1.10m Jumper II.2b,"[""recKtsuwLGpqqjPXe""]",Tanner Korotkin,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|26855"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26855"",""entry_order"":2,""current_entry_no"":""1025"",""current_horse"":""Dodicci"",""rider"":""Tanner Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 2 </td>\n <td>\n 1025 </td>\n <td>\n Dodicci </td>\n <td>\n Tanner Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26855\"",\""entry_no\"":\""1025\"",\""horse\"":\""Dodicci\"",\""rider\"":\""Tanner Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1025,14909|2026-07-03|3592|642|26855|1025,14909|2026-07-03|wec-step3-20260703T195021715Z
recg4sT7NA1uufQaV,14909,1.40m Junior/AmateurJumper II.1,3,2026-07-03T19:50:35.000Z,26788,"[""Bee""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Bee (3),true,3580,2026-07-03T04:00:29.000Z,14909|20260703,Kindly,class_oog.php,1.40m Junior/AmateurJumper II.1,"[""recphHLM9HP8cczaO""]",Carsyn Korotkin,2026-07-03,WEC Grand Arena - Nate Poliquin,640,"{""raw_key"":""14909|2026-07-03|3580|640|26788"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26788"",""entry_order"":3,""current_entry_no"":""1038"",""current_horse"":""Kindly"",""rider"":""Carsyn Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 3 </td>\n <td>\n 1038 </td>\n <td>\n Kindly </td>\n <td>\n Carsyn Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26788\"",\""entry_no\"":\""1038\"",\""horse\"":\""Kindly\"",\""rider\"":\""Carsyn Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1038,14909|2026-07-03|3580|640|26788|1038,14909|2026-07-03|wec-step3-20260703T195021715Z
recgf3ihWzdfxfdGR,14909,USHJA National Hunter Derby 3' Jr/Am,14,2026-07-03T19:50:58.000Z,26869,"[""Navy""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Navy (14),true,3604,2026-07-03T04:25:41.000Z,14909|20260703,Navigator,class_oog.php,USHJA National Hunter Derby 3' Jr/Am,"[""recVFkxHHmovyJRAf""]",Carsyn Korotkin,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26869"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26869"",""entry_order"":14,""current_entry_no"":""3100"",""current_horse"":""Navigator"",""rider"":""Carsyn Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 14 </td>\n <td>\n 3100 </td>\n <td>\n Navigator </td>\n <td>\n Carsyn Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26869\"",\""entry_no\"":\""3100\"",\""horse\"":\""Navigator\"",\""rider\"":\""Carsyn Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",3100,14909|2026-07-03|3604|644|26869|3100,14909|2026-07-03|wec-step3-20260703T195048375Z
reckl0N29w5PD8Ej0,14909,USHJA National Hunter Derby 3' Jr/Am,12,2026-07-03T19:50:58.000Z,26869,"[""Munster""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Munster (12),true,3604,2026-07-03T04:25:41.000Z,14909|20260703,Mastermind,class_oog.php,USHJA National Hunter Derby 3' Jr/Am,"[""recGmLBUenZyb34a5""]",Naomi Selleck,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26869"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26869"",""entry_order"":12,""current_entry_no"":""1183"",""current_horse"":""Mastermind"",""rider"":""Naomi Selleck"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 12 </td>\n <td>\n 1183 </td>\n <td>\n Mastermind </td>\n <td>\n Naomi Selleck </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26869\"",\""entry_no\"":\""1183\"",\""horse\"":\""Mastermind\"",\""rider\"":\""Naomi Selleck\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1183,14909|2026-07-03|3604|644|26869|1183,14909|2026-07-03|wec-step3-20260703T195048375Z
recp517VuWw2RVJj3,14909,1.10m Amateur Jumper II.1,6,2026-07-03T19:50:47.000Z,26803,"[""Kudos""]",2026-07-03T19:50:47.000Z,Lynn Yoos,wec-step3-20260703T195037315Z,20260703,Kudos (6),true,3592,2026-07-03T04:22:38.000Z,14909|20260703,Fernhill Kudos,class_oog.php,1.10m Amateur Jumper II.1,"[""recCJZ2qtB13pnoHM""]",Lynn Yoos,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|26803"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26803"",""entry_order"":6,""current_entry_no"":""2502"",""current_horse"":""Fernhill Kudos"",""rider"":""Lynn Yoos"",""trainer"":""Lynn Yoos"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 6 </td>\n <td>\n 2502 </td>\n <td>\n Fernhill Kudos </td>\n <td>\n Lynn Yoos </td>\n <td>\n Lynn Yoos </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26803\"",\""entry_no\"":\""2502\"",\""horse\"":\""Fernhill Kudos\"",\""rider\"":\""Lynn Yoos\"",\""trainer\"":\""Lynn Yoos\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",2502,14909|2026-07-03|3592|642|26803|2502,14909|2026-07-03|wec-step3-20260703T195037315Z
recpKHTmVsFC8xCLa,14909,USHJA UF Vet Hunter Derby 3' Open,13,2026-07-03T19:50:58.000Z,26868,"[""Navy""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Navy (13),true,3604,2026-07-03T04:25:41.000Z,14909|20260703,Navigator,class_oog.php,USHJA UF Vet Hunter Derby 3' Open,"[""recVFkxHHmovyJRAf""]",Carsyn Korotkin,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26868"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26868"",""entry_order"":13,""current_entry_no"":""3100"",""current_horse"":""Navigator"",""rider"":""Carsyn Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 13 </td>\n <td>\n 3100 </td>\n <td>\n Navigator </td>\n <td>\n Carsyn Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26868\"",\""entry_no\"":\""3100\"",\""horse\"":\""Navigator\"",\""rider\"":\""Carsyn Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",3100,14909|2026-07-03|3604|644|26868|3100,14909|2026-07-03|wec-step3-20260703T195048375Z
recqHt1swbAcAkkAV,14909,.90m Amateur Jumper II.1,1,2026-07-03T19:50:47.000Z,26815,"[""La La Land""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195037315Z,20260703,La La Land (1),true,3598,2026-07-03T04:22:38.000Z,14909|20260703,La La Land,class_oog.php,.90m Amateur Jumper II.1,"[""recfNblKC4omkLphP""]",Christina Faninger,2026-07-03,Indoor 5 - Cassie Goebel,643,"{""raw_key"":""14909|2026-07-03|3598|643|26815"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26815"",""entry_order"":1,""current_entry_no"":""1297"",""current_horse"":""La La Land"",""rider"":""Christina Faninger"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 1 </td>\n <td>\n 1297 </td>\n <td>\n La La Land </td>\n <td>\n Christina Faninger </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26815\"",\""entry_no\"":\""1297\"",\""horse\"":\""La La Land\"",\""rider\"":\""Christina Faninger\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1297,14909|2026-07-03|3598|643|26815|1297,14909|2026-07-03|wec-step3-20260703T195037315Z
recrBTAEJMXhgCrTC,14909,USHJA National Hunter Derby 3' Jr/Am,26,2026-07-03T19:50:58.000Z,26869,"[""Pedro""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Pedro (26),true,3604,2026-07-03T04:25:41.000Z,14909|20260703,Vote For Pedro,class_oog.php,USHJA National Hunter Derby 3' Jr/Am,"[""recSN2ubuLOEooD86""]",Aria Waxman,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26869"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26869"",""entry_order"":26,""current_entry_no"":""1049"",""current_horse"":""Vote For Pedro"",""rider"":""Aria Waxman"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 26 </td>\n <td>\n 1049 </td>\n <td>\n Vote For Pedro </td>\n <td>\n Aria Waxman </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26869\"",\""entry_no\"":\""1049\"",\""horse\"":\""Vote For Pedro\"",\""rider\"":\""Aria Waxman\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1049,14909|2026-07-03|3604|644|26869|1049,14909|2026-07-03|wec-step3-20260703T195048375Z
recsv3YOuIVAvkz3P,14909,1.10m Jumper II.2b,12,2026-07-03T19:50:36.000Z,26855,"[""Calypso""]",2026-07-03T19:50:36.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Calypso (12),true,3592,2026-07-03T04:22:38.000Z,14909|20260703,Calypso,class_oog.php,1.10m Jumper II.2b,"[""recD3ADwwji0FNRtM""]",Tanner Korotkin,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|26855"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26855"",""entry_order"":12,""current_entry_no"":""2667"",""current_horse"":""Calypso"",""rider"":""Tanner Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 12 </td>\n <td>\n 2667 </td>\n <td>\n Calypso </td>\n <td>\n Tanner Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26855\"",\""entry_no\"":\""2667\"",\""horse\"":\""Calypso\"",\""rider\"":\""Tanner Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",2667,14909|2026-07-03|3592|642|26855|2667,14909|2026-07-03|wec-step3-20260703T195021715Z
rectW3b2BHXoInG9W,14909,1.30m Jumper II.2b,1,2026-07-03T19:50:35.000Z,26826,"[""Doug""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Doug (1),true,3592,2026-07-03T04:00:29.000Z,14909|20260703,Ideal,class_oog.php,1.30m Jumper II.2b,"[""recA2tEY30b7N3UP1""]",Grace Lyons,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|26826"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26826"",""entry_order"":1,""current_entry_no"":""1035"",""current_horse"":""Ideal"",""rider"":""Grace Lyons"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 1 </td>\n <td>\n 1035 </td>\n <td>\n Ideal </td>\n <td>\n Grace Lyons </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26826\"",\""entry_no\"":\""1035\"",\""horse\"":\""Ideal\"",\""rider\"":\""Grace Lyons\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1035,14909|2026-07-03|3592|642|26826|1035,14909|2026-07-03|wec-step3-20260703T195021715Z
recwCH8PXqDgJe3if,14909,1.40m Junior/AmateurJumper II.1,6,2026-07-03T19:50:35.000Z,26788,"[""Insider""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Insider (6),true,3580,2026-07-03T04:00:29.000Z,14909|20260703,Insider Bh,class_oog.php,1.40m Junior/AmateurJumper II.1,"[""recqt3jIIsz9QHFaX""]",Victoria Rotsaert,2026-07-03,WEC Grand Arena - Nate Poliquin,640,"{""raw_key"":""14909|2026-07-03|3580|640|26788"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26788"",""entry_order"":6,""current_entry_no"":""1037"",""current_horse"":""Insider Bh"",""rider"":""Victoria Rotsaert"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 6 </td>\n <td>\n 1037 </td>\n <td>\n Insider Bh </td>\n <td>\n Victoria Rotsaert </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26788\"",\""entry_no\"":\""1037\"",\""horse\"":\""Insider Bh\"",\""rider\"":\""Victoria Rotsaert\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1037,14909|2026-07-03|3580|640|26788|1037,14909|2026-07-03|wec-step3-20260703T195021715Z
recwu1f3iW6UpwSao,14909,.90m Junior Jumper II.1,4,2026-07-03T19:50:47.000Z,26812,"[""Shrek""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195037315Z,20260703,Shrek (4),true,3598,2026-07-03T04:22:38.000Z,14909|20260703,Tenor Van't Klavertje Vier,class_oog.php,.90m Junior Jumper II.1,"[""recwbmw731cwKB5Mb""]",Lola Applebaum,2026-07-03,Indoor 5 - Cassie Goebel,643,"{""raw_key"":""14909|2026-07-03|3598|643|26812"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26812"",""entry_order"":4,""current_entry_no"":""2460"",""current_horse"":""Tenor Van't Klavertje Vier"",""rider"":""Lola Applebaum"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 4 </td>\n <td>\n 2460 </td>\n <td>\n Tenor Van't Klavertje Vier </td>\n <td>\n Lola Applebaum </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26812\"",\""entry_no\"":\""2460\"",\""horse\"":\""Tenor Van't Klavertje Vier\"",\""rider\"":\""Lola Applebaum\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",2460,14909|2026-07-03|3598|643|26812|2460,14909|2026-07-03|wec-step3-20260703T195037315Z
recywhZTh5EqMLS9f,14909,USHJA National Hunter Derby 3' Jr/Am,3,2026-07-03T19:50:58.000Z,26869,"[""Tommy""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Tommy (3),true,3604,2026-07-03T04:25:41.000Z,14909|20260703,Specialist,class_oog.php,USHJA National Hunter Derby 3' Jr/Am,"[""recnQ5XOUOoXDWCda""]",Kate Marisch,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26869"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26869"",""entry_order"":3,""current_entry_no"":""1048"",""current_horse"":""Specialist"",""rider"":""Kate Marisch"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 3 </td>\n <td>\n 1048 </td>\n <td>\n Specialist </td>\n <td>\n Kate Marisch </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26869\"",\""entry_no\"":\""1048\"",\""horse\"":\""Specialist\"",\""rider\"":\""Kate Marisch\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1048,14909|2026-07-03|3604|644|26869|1048,14909|2026-07-03|wec-step3-20260703T195048375Z
