record_id,entry_no,rec_id,Created,horse,trainer,horse_display (from horses),horses,source,rider,riders,rider_display (from riders),trainers,trainer_display (from trainers),barn_name,entry_go_times,wec-alerts,class_oog,class_oog_staging,get_orders,get_rings,class_results,get_rings 2,get_orders 2,wec_entry_comments,wec_class_comments,wec_comment_presets,wec_question_templates,wec_sessions,wec_comments,wec_ring_checkins,waze_users,wec_observations,wec_ring_comments
rec0oB2Jm5zwqXvq5,1796,rec0oB2Jm5zwqXvq5,2026-06-18T21:06:12.000Z,Blue Hour,,[null],"[""recuhN07Hqw3iRrC3""]",get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec0oK3MXB6M3HAF2,1917,rec0oK3MXB6M3HAF2,2026-06-12T17:24:27.000Z,Smooth Sailing,Bryce P. Richardson,[null],"[""recK8Cx4IgRHsFiPG""]",class_oog,Claire Arnold,"[""recvxuvEt674Zkc3J""]","[""Claire""]","[""rectIwXBJfkrEAaOG""]",,,,,,,,,,,,,,,,,,,,,
rec0oUzAUaAoWaLAO,1247,rec0oUzAUaAoWaLAO,2026-06-09T23:09:50.000Z,Captain Marvel CF,Erica Robson,[null],"[""recERIl5sMgyTd53w""]",class_oog.php,Erica Robson,"[""recLEG9lIoQdlLyaD""]","[""Erica""]","[""recMir2WcmMLTzpZq""]",,,,,,,,,,,,,,,,,,,,,
rec0on3YwJxmy4UfE,2803,rec0on3YwJxmy4UfE,2026-06-09T23:09:50.000Z,Kanai,Addison Reed,[null],"[""rec1ihQOtFr55EjAR""]",class_oog.php,Addison Reed,"[""recnq0SxsppmltiqF""]","[""Addison""]","[""recRlcCb6UzGjsfM8""]",,,,,,,,,,,,,,,,,,,,,
rec0pQzOqZKDAJtDY,3594,rec0pQzOqZKDAJtDY,2026-07-01T13:33:38.000Z,Ucandance Du Vlist Z Ghm,,,,get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec0sEBbL6j23F5Gs,154,rec0sEBbL6j23F5Gs,2026-06-09T23:09:50.000Z,Hagelin,Sharn L. Wordley,[null],"[""recc2jd3xZhT62Ocy""]",class_oog.php,Sharn L. Wordley,"[""recipdUIV44DeFGfq""]","[""Sharn""]","[""recqmThVFmsIM6E8t""]",,,,,,,,,,,,,,,,,,,,,
rec0toyPx9achffXl,2727,rec0toyPx9achffXl,2026-06-11T11:39:23.000Z,Global Ph Cocofino,David Cameron,[null],"[""reccKdWlsiElejWlP""]",class_oog,Tyla Hackett,"[""recoplw0C0H8tom54""]","[""Tyla""]","[""recV9UeEpcw6UDEM9""]",,,,,,,,,,,,,,,,,,,,,
rec0v0WJGnoB5pLrQ,2874,rec0v0WJGnoB5pLrQ,2026-06-09T23:09:50.000Z,Dropshot Z,Jared P. Petersen,[null],"[""recB0LPWzuHFktnZa""]",class_oog,Jordan Petersen,"[""recYAMMYSikFNZf1a""]","[""Jordan""]","[""recWoImYqrWG0E1xh""]",,,,,,,,,,,,,,,,,,,,,
rec15E164n3x0AA8E,1051,rec15E164n3x0AA8E,2026-06-11T11:39:23.000Z,Cajou Mm,Daniela Roy,[null],"[""recBU3FB99fptTovp""]",class_oog,Gabriela Mccloskey,"[""recusXJB2e7ym5WkL""]","[""Gabriela""]","[""rec2F4zRJZGDzG0M2""]",,,,,,,,,,,,,,,,,,,,,
rec1K7ICEFCibF2DT,1589,rec1K7ICEFCibF2DT,2026-06-09T23:09:50.000Z,Kali,Juan M. Bolanos,[null],"[""recZYvMb7PsuQ9hBI""]",class_oog,Mireya Godoy,"[""recAe7S3iuE2LSdMM""]","[""Mireya""]","[""reciQqSfWbMiP5zxf""]",,,,,,,,,,,,,,,,,,,,,
