record_id,Count (entries),Count (riders),trainer,Count (horses),Count (class_oog),horses,entries,rec_id,source,riders,wec-alerts,entry_go_times,trainer_display,class_results,active_entries 2,tag,active,class_oog,class_oog copy,classes,active_entries
rec1WjmrNr6i9f42W,2,2,Matthias Hollberg,2,0,"[""recNt5v3dRPI2tyvH"",""recK2MOfvbDLsYgF3""]","[""recIZlv5njbVi0Nxl"",""recTjZf2U9rwRh5lj""]",rec1WjmrNr6i9f42W,class_oog,"[""recRU1Mej9Bok2L0a"",""recw1lC5ChTZacpJT""]",,,,,,,,,,,
rec1sLb3hI5Aty4bi,3,1,Candice King,3,0,"[""recQIpMbWzNoucRll"",""recLAN1YCprctnFUq"",""recwxnbZ53dpZdeAP""]","[""recFa588ULfAZelY7"",""recFIucAwqNnrCEri"",""recHs8RP528qvk0N3""]",rec1sLb3hI5Aty4bi,class_oog,"[""recKcvl4bqHepAxuo""]",,,,,,,,,,,
rec1uM1UghdnlA4Hq,10,3,Ryan Michael Genn,10,0,"[""rec3hjxkKORztNcvG"",""recP7qIG6WE3TdbL7"",""recdwSoPWFOXJFw5k"",""recTnId0UeHKnUWU7"",""recAWz5tOQQ2B2IlN"",""rec6hlLugT5cf84pr"",""recMAuWjmb6Ae7iB7"",""recMEa7UtJl2MPmiG"",""recVN874Q98zEWIta"",""rec8MV3OeY9y3RdK0""]","[""recjoa5HxFvEF8f0H"",""recl8AF6ygtIXoyFP"",""recQgzW00V8UL9jDG"",""recKvCPQXpkZxHALi"",""recQisO5xtuWBm2O6"",""recP6lQmxUMAGVJMs"",""recbMUxRpLNLEqBal"",""recfqL62ibBDvEmQn"",""rec4sYbf6VrE4Gdck"",""recIH6NTGqFpovgsh""]",rec1uM1UghdnlA4Hq,class_oog,"[""recxzzbGbfXwvPmbw"",""recn0cD6aeT6wfqk1"",""recjmkO8nfWJ8eRTr""]",,,,,,,,,,,
rec1yYXh3xuiGBsAr,3,2,Maya Denis,2,0,"[""recGmPubDpsiWp8Rm"",""recPSAy86BWgZsb5v""]","[""recA6Nqh637ic9n2z"",""recOB0gvl9ol4FFKr"",""recYOe2ff0v83G5zh""]",rec1yYXh3xuiGBsAr,class_oog,"[""recRZ3xBHi6OjRlHK"",""rec3BxcQLNZKJwRBi""]",,,,,,,,,,,
rec1yq40bnU1koghd,4,6,Kimberly Nadler-Russo,6,0,"[""recP4G3QNnl2v954G"",""rec7U6MZ2RuK9M4Ni"",""recgUbzjjuWYQbHed"",""recteSUNrBahQGXUw"",""recp0oZhraItqrQzg"",""reccaQUKYLybKHEwa""]","[""rec8dxdOus0dlQQON"",""recIFbblss2EakCsc"",""recyoV70nYdspP18A"",""rechgoOSG1jAOreGN""]",rec1yq40bnU1koghd,class_oog,"[""rec3JI6oeMRwsEyEb"",""rec2ZzSAukMmfPita"",""recrFCA3KOnHIR0dX"",""recwnV5ZrH6yg5bA2"",""rectHI2mQe5r1di42"",""recmZ39r1B0a9zA3p""]",,,,,,,,,,,
rec24pSWnvy9FcJe9,5,1,Luke Sassi,4,0,"[""rec7OtpMftJvmaGkF"",""rec4C5up6MnR29EiK"",""rec0dAC4VPaTnKi1s"",""reciD8BARTY6HjGWi""]","[""recf7XhHRIWSt1q5G"",""recX7ZLMmQ0SEzHLB"",""recnHXqzRVrS79XjN"",""recjuhxmP88d5UfTA"",""rectY3GOus6n9pmIQ""]",rec24pSWnvy9FcJe9,class_oog,"[""recRLAErJt0gGFTo1""]",,,,,,,,,,,
rec2F4zRJZGDzG0M2,29,27,Daniela Roy,29,0,"[""recpdVBUOXM5ptGGY"",""recTTobw5FlvTgQhj"",""recfvXIJu2fBnhXlU"",""recDpMqmThlCwQMi7"",""recBU3FB99fptTovp"",""recZZyDOGkQT1QsV8"",""recaqAahuWUuGII4P"",""recwnV4YzCQeFpteN"",""rec3ff1KdVWsMGbFm"",""recE26EQIjm375tmu"",""reclqu43uXHbMrx2f"",""rec1sxECv59okPl0g"",""recAT3lIYgGZIMQVx"",""recER7eS5z5aEPFDL"",""recTZCcQOTJ1RasLn"",""recnivt53KWT7p0Ot"",""recwPbturey15NTfV"",""rec2gtsrG7rYcCOdd"",""reclEAQfewD0vwoWG"",""rec0AjlSw7pupQDJX"",""recz8hrVI6FArE7iO"",""recGIs38pm2C2QgQ5"",""recjDejLtkc1RGo3W"",""recmvMfOCA74e8HNY"",""recoJJN0uvoxenvVi"",""recxFnv0MGp93JTAo"",""recz8ZZNm1odTS2R2"",""recZ6GeD3Q8Fn0VQ3"",""recCL5jGRxCgxSTxZ""]","[""recSJLnuRigTEuee6"",""rec6ZGNosqNhhZYIP"",""recvxTs1okJ0DWwtC"",""recJhRHASG3TyEeHK"",""recE0VaX8Y1xYPUCM"",""recpnCzQhA8RBpccs"",""rec1b3XnJ0xwpUVVO"",""recRHVJ2gqfIym4cq"",""recK2qgLZ3lQcZgqJ"",""recPn4rsgZJufengs"",""recvUkJmo2MpUJzWH"",""recpQXvg7DeD84UtF"",""rec3wby7DWIiWanEq"",""rec15E164n3x0AA8E"",""recpF7BQH9k4kO7Cg"",""recCXnGJSdTBJQL6t"",""recg2q8fBl6zY3Mak"",""recBsU2Jj6yCwEiMr"",""recQUJzVTnwF3CiJW"",""recX78rajRi4FZjoP"",""recPs89Jz6WyzBvdm"",""rec6iwnGhNhMivPK5"",""rec6M1TTc7umBP1As"",""recieR1tGsakViJ0x"",""rec2c2MFlF74J1ChD"",""recVEJVQOCfivJpff"",""recOAX1RDtyWEjryg"",""recdPMOFigX7AuBXi"",""recrUgJqtSNyjM7Ng""]",rec2F4zRJZGDzG0M2,class_oog,"[""recXSff0neRglrRwx"",""recu08MrN0g4FlTr5"",""recI0ALQRlCHCd046"",""recKe0fEOC2617vU1"",""recxILKo5fImj0Xlg"",""recusXJB2e7ym5WkL"",""rec2jDKTGlikuVdSU"",""recnzaHCIumNpAjr4"",""recjcDG5Oqd7HV3jC"",""recbIEV5U9qm9h3iA"",""recivIS48AouxAUBQ"",""recjIhYtwuar8948X"",""recH6EVKjG6HBGt14"",""recaYewbSiDYrXT7p"",""rec3PaVo95svCEkcx"",""recnHmk4TDLEAymHK"",""recKTcsZ4zpTvlcB3"",""receuTpQmC2SBCNfl"",""recing1PXwupaqjba"",""recgwMtX6ewmLIDvH"",""recbYvaGOoKCR5aok"",""recjKv2e3jfgm3H8j"",""recONcc9Y1eFbsIqb"",""recoNEIuUpTxc4I4q"",""recdjEm6x9g7ssHiR"",""recAy1BXpYpPWq8FE"",""recxclfcUZPGKeFde""]",,,,,,,,,,,
rec2XNYc72zstptO7,2,1,Jennifer Phethean,2,0,"[""rechjHHcAV6E5Zvsx"",""recDaX9AIGXi2opkI""]","[""recFZqfjjBg2iwfJO"",""recmxAqtZ4KLikEmy""]",rec2XNYc72zstptO7,class_oog,"[""rec8eowQRZXV3oVxo""]",,,,,,,,,,,
rec2q0QwewZOAeofV,1,0,Juan J. Bancalari,0,0,,"[""rec4pOaYgAZalZMzo""]",rec2q0QwewZOAeofV,class_oog.php,,,,,,,,,,,,
rec3S9KikkQrKgX8L,7,4,Anne L. Bingler,7,0,"[""recYcjfuToIDFnZ8k"",""rec7xAGggwkuB2iuH"",""rectRnnwj6xwJANwa"",""reccYIQBX3mYMUiWX"",""recNZ1x4zczsBbzlg"",""recg2Sv2ezJQLIeI7"",""recb4KTQuKNimjUqJ""]","[""recarEx7mlbqpeP8N"",""rec5U7pN8TJHOvcg6"",""rec3FAchzIv5xBucH"",""recc51YkKZgpedrZ0"",""reckDFumqtxbWhdn2"",""recCke5DtPAUI7Pty"",""rechGPF30MTRNxo4R""]",rec3S9KikkQrKgX8L,class_oog,"[""rechuzUPNLOsASgzX"",""recpgVv0PoTAjefFa"",""recyGVYLmZDyh1vIT"",""recZYpUo2wQDeHdRc""]",,,,,,,,,,,
rec3UdGAtomDxEozr,1,1,Amanda Flint,1,0,"[""recXmjfTXve9sBDbF""]","[""recBEFytHdCyQqvMe""]",rec3UdGAtomDxEozr,class_oog,"[""rec9xdU3MJtpDiRxC""]",,,,,,,,,,,
rec3YXaHMBB02whyu,0,0,Vago,0,0,,,rec3YXaHMBB02whyu,,,,,,,,,,,,,
rec3YjZUNtuqDJ0nC,4,4,Jacqueline Steffens Daly,4,0,"[""recF0Qj3XRYqabiuO"",""recpjmVkhaMa5uNgi"",""recKgbUJtVxZpLUkL"",""recy0wCuJO1oDY3l0""]","[""rec8BkNjJAu1oqLly"",""recZpqPhNHYT2KGLP"",""recdkGK7Ky8tTodPI"",""rec7TuJvn6kKhK8Rb""]",rec3YjZUNtuqDJ0nC,class_oog,"[""recVEALy4YPkqWZIK"",""recNBQyuhKbs4KSEm"",""rec6ysxUctaB5NfSJ"",""recs9meILMT15Y84h""]",,,,,,,,,,,
rec3Zk0aiDpx2KX0O,4,2,Jenna P. Friedman-Lopez,4,0,"[""recb06EzEhRXoWKfE"",""rec0409bsqwqOEXaa"",""recnYaxBg2yWHsGAP"",""recQ2W0linNXzraNQ""]","[""recRUmhoOe0gPinCh"",""reckJKgk676RKWabB"",""recUtlg8od1chADBZ"",""recr57PyYYUA0cB6N""]",rec3Zk0aiDpx2KX0O,class_oog,"[""recNlymSrDpNu9n0h"",""recFcDAkmM11SfTyQ""]",,,,,,,,,,,
rec456G3R5wbsgOk8,4,3,Rebecca Warth,4,0,"[""reczxmLcbbOMopigx"",""rec0C9LNIc1wwIMtL"",""rec81fkbetDGZMtjx"",""recFDsz0IzWNeXBNp""]","[""recI8Aeh6KyBGtUTc"",""recxloaG3vDKK6KgS"",""recSq8P0NfinWRF3k"",""recS6Yi3xMApohadp""]",rec456G3R5wbsgOk8,class_oog,"[""rec7S7t2RbbauTtda"",""recuRfqCXumIZugTG"",""recZeXwiclBhaislj""]",,,,,,,,,,,
rec4DXi4PILWoXlnx,2,1,Priscilla Broger,2,0,"[""recfOl7ZkyUoojeeo"",""recdO9dtC5jzQT3w6""]","[""rec7IRQCJhcQjYSyL"",""rec5BCZ11djG4ijhg""]",rec4DXi4PILWoXlnx,class_oog,"[""recw1RkTLz6AB4VfY""]",,,,,,,,,,,
rec4KAl96j0uH9if9,5,1,Marcus Gruenthal,5,0,"[""recsBwPifRjX57n89"",""rech955C4jzPxGzsU"",""recqcYXMX1DI8cqj1"",""recRJnWJ6LZ3r403l"",""recBezwCTbGePCZMo""]","[""rect87snjPMcY7fbo"",""recA9WN5yyh58eP0i"",""recOlHBWITPhZK4g5"",""recURpiT91CHk3NR8"",""recrakE8uCpPiKueL""]",rec4KAl96j0uH9if9,class_oog,"[""rec6eqb0fBJcoRHZU""]",,,,,,,,,,,
rec52TGSBsR6kN4qH,0,0,Kelly Saporito,0,0,,,rec52TGSBsR6kN4qH,class_oog.php,,,,,,,,,,,,
rec5Ut33CL5koblpZ,3,2,Jane C. Ehrhart,3,0,"[""receqd5Cup8r42Zwg"",""reccnvSS13fIvBqR7"",""recq3iv8YlgD5p7ZS""]","[""recrhTIGLAHgE4tE9"",""recX5qWot6Av0Z3oy"",""recJHYRElkwolfSEq""]",rec5Ut33CL5koblpZ,class_oog,"[""recZSuImgt5CS4NOz"",""recMifDCMUrKBbuO5""]",,,,,,,,,,,
rec5VNiNYnXVAnanj,4,4,Raishun Burch,4,0,"[""recQZMEffGo1OFwVA"",""recPzJd0N3xIhHeyD"",""recRMC3zELLHIedtW"",""recSZXzYo2rEIrwR9""]","[""recyvOQBUftNZ9zAB"",""recoiKpT2bIqQtXt6"",""recOMmK8MSH3g7A94"",""recBc8B5JwLXimn9V""]",rec5VNiNYnXVAnanj,class_oog,"[""recPdCUxo8dHxOsst"",""recV9LW30IW7R1YBf"",""rec0YrrKHcxLsnQPN"",""recsoGpzF7G0PjVs0""]",,,,,,,,,,,
rec5Zl0N5TXr6Cc95,8,3,Celso Ariani,8,0,"[""recabZZWJAemXoGRD"",""recLNnmL9i2bqIPdm"",""recBpibv9YAh7V1Z2"",""recLiplT5iysXRSiV"",""recPzghsQT7R3fC8Y"",""recDzjWHwc9TGbMJL"",""recMON4SobKvvFQ31"",""recOZ9UPOk8sC3QWe""]","[""recL4jKm0eoF4WCaH"",""recJ3UqDyllaCAglQ"",""recjfRtkOKKC94jcu"",""recu5l2tyVid7cZE4"",""recSUHXG1aUOdU7eF"",""rec81sUUNYt18WiAO"",""recKnpes6SEjkV7pz"",""recBKYF2PYQxmUqv0""]",rec5Zl0N5TXr6Cc95,class_oog,"[""rec6706A0jhb96oOe"",""recMPbYmzweoEuQZw"",""recY8O6Lce7YtfvQI""]",,,,,,,,,,,
rec5aqepy6NAiz9DN,1,1,Tony Doran,1,0,"[""rectCkxFM4x840mhI""]","[""recVDOlZqvn378Rhs""]",rec5aqepy6NAiz9DN,class_oog,"[""reckTX8q1hHSEHPSA""]",,,,,,,,,,,
rec66J2Ps6QIW80Eq,1,1,Terry L. Brown,1,0,"[""rec9Cq92rysrUPw7F""]","[""recWPdGVFI6Qz09or""]",rec66J2Ps6QIW80Eq,class_oog,"[""recKUZuBFUuIJfYe1""]",,,,,,,,,,,
rec6D1SUrQr1IYJyM,2,2,Lindsay Haselden,2,0,"[""recEqrLojB1nQq8yc"",""reclItPl83WpTBG0B""]","[""recLeXGaasG5rMb5L"",""recFilGQOdQJWtF4n""]",rec6D1SUrQr1IYJyM,class_oog,"[""recZv0Kz1HlCWvWvz"",""reclIcIUWajd0pWG3""]",,,,,,,,,,,
rec6UiZPMcNsltg3J,4,3,Brian Murphy,4,0,"[""recTfQComcsRMvBYN"",""recnhOVcyG0NA6V4G"",""recqo0l1TcOw7WkjU"",""recogpaNTwnvXhHhd""]","[""recsqOkaczV6jKDvC"",""recXhnw9jzNNP3Ri9"",""rect9kuSGZd3zCfJT"",""recsn5lYwAOsYIFXs""]",rec6UiZPMcNsltg3J,class_oog,"[""rechp7Vc1sVhhq9q4"",""recWbZukYiZRz2KJD"",""recdjhwbi07xAvBjH""]",,,,,,,,,,,
