record_id,class_visual_key,ring_visual_key,class_start_time,focus_day,Created,class_name,status,class_no,class_start_key,last_synced_at,show_no,ring_name_normalized,ring_name,ring_no,ring_day_no,class_number,entry_count,display_time,live_source
recLxNIBEbLZMnYey,indoor_2|26912,645|indoor_2,13:00:00,2026-07-03,2026-07-03T19:51:41.000Z,Low Adult Equitation 2'6,active,26912,indoor_2|26912,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,518,6,1:00 pm,hs_update_schedule.step4_runtime_prep
recM0RrXRSBO92TW9,indoor_5|26809,643|indoor_5,14:30:00,2026-07-03,2026-07-03T19:51:41.000Z,1.00m Adult Jumper II.1,active,26809,indoor_5|26809,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,740,16,2:30 pm,hs_update_schedule.step4_runtime_prep
recO0qn1G2zBuexWQ,indoor_5|26837,643|indoor_5,07:30:00,2026-07-03,2026-07-03T19:51:41.000Z,.65m Long Creek Farms Jr/Am IV.1,active,26837,indoor_5|26837,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,604,12,7:30 am,hs_update_schedule.step4_runtime_prep
recP4Ap5ZoHDZFnM3,indoor_2|26908,645|indoor_2,11:00:00,2026-07-03,2026-07-03T19:51:41.000Z,Children's Equitation Flat,active,26908,indoor_2|26908,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,514,6,11:00 am,hs_update_schedule.step4_runtime_prep
recPXYuwxHMxSB50E,indoor_5|26834,643|indoor_5,07:30:00,2026-07-03,2026-07-03T19:51:41.000Z,.65m Jumper Open IV.1,active,26834,indoor_5|26834,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,601,15,7:30 am,hs_update_schedule.step4_runtime_prep
recQIZyHmHcQjq4vs,indoor_1|26870,644|indoor_1,13:15:00,2026-07-03,2026-07-03T19:51:41.000Z,Golden Ocala Hunter Derby 3'6,active,26870,indoor_1|26870,2026-07-03 20:06:20,14909,indoor 1,Indoor 1- Sarah Haas,644,3604,406,12,1:15 pm,hs_update_schedule.step4_runtime_prep
recQbUoIx74mE3ZfU,indoor_5|26812,643|indoor_5,12:30:00,2026-07-03,2026-07-03T19:51:41.000Z,.90m Junior Jumper II.1,active,26812,indoor_5|26812,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,731,7,12:30 pm,hs_update_schedule.step4_runtime_prep
recQdDRVbfFl6yXug,indoor_6|26797,642|indoor_6,10:30:00,2026-07-03,2026-07-03T19:51:40.000Z,1.15m Junior/Amateur Jumper II.1,active,26797,indoor_6|26797,2026-07-03 20:06:20,14909,indoor 6,Indoor 6 - Brandon Serpico,642,3592,757,15,10:30 am,hs_update_schedule.step4_runtime_prep
recSt0Kt6kB1AWotr,indoor_5|26806,643|indoor_5,14:30:00,2026-07-03,2026-07-03T19:51:41.000Z,1.00m Junior Jumper II.1,active,26806,indoor_5|26806,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,737,21,2:30 pm,hs_update_schedule.step4_runtime_prep
recTJvScUCpWijuW9,indoor_2|26911,645|indoor_2,15:00:00,2026-07-03,2026-07-03T19:51:42.000Z,Low Children's Equitation Flat,active,26911,indoor_2|26911,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,517,11,3:00 pm,hs_update_schedule.step4_runtime_prep
recVAWU358inmJiGc,indoor_2|26906,645|indoor_2,10:30:00,2026-07-03,2026-07-03T19:51:41.000Z,Children's Equitation 3',active,26906,indoor_2|26906,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,512,6,10:30 am,hs_update_schedule.step4_runtime_prep
recWHEzBjudxXDpfZ,indoor_6|26855,642|indoor_6,07:30:00,2026-07-03,2026-07-03T19:51:40.000Z,1.10m Jumper II.2b,active,26855,indoor_6|26855,2026-07-03 20:06:20,14909,indoor 6,Indoor 6 - Brandon Serpico,642,3592,632,19,7:30 am,hs_update_schedule.step4_runtime_prep
recYzV5ttHJhAbdLc,grand|26676,640|grand,08:00:00,2026-07-03,2026-07-03T14:00:29.000Z,C.Jarvis Insurance Welcome Prix 1.40m II.2b,active,26676,grand|26676,2026-07-03 20:06:20,14909,grand,WEC Grand Arena - Nate Poliquin,640,3580,804,25,8:00 am,hs_update_schedule.step4_runtime_prep
recZ1N6YkdfhtZ3e0,indoor_5|26849,643|indoor_5,10:45:00,2026-07-03,2026-07-03T19:51:41.000Z,.85m Jumper Junior/Amateur II.2d,active,26849,indoor_5|26849,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,622,9,10:45 am,hs_update_schedule.step4_runtime_prep
