record_id,source_endpoint,ring_day_no,ring_name_normalized,ring_no,heartbeat_id,iso_date,run_id,focus_day_key,ring_day_key,show_focus_key,date_text,show_no,source_row_json,focus_day,ring_name,rings,ring_name_prioritized
rec3hwdm4EfYMTQFn,get_ring_days.php,3592,INDOOR 6,642,14909|2026-07-03|wec-step1-20260703T200602397Z,2026-07-03,wec-step1-20260703T200602397Z,20260703,14909|3592|642,14909|20260703,"Friday, July 3, 2026",14909,"{""ring_no"":""642"",""ring_name"":""Indoor 6 - Brandon Serpico"",""ring_day_no"":""3592"",""date"":""Friday, July 3, 2026""}",2026-07-03,Indoor 6 - Brandon Serpico,"[""recPLpfn3U25TPkou""]",16
rec8soxXxbo62DzsB,get_ring_days.php,3586,HUNTER 2,641,14909|2026-07-03|wec-step1-20260703T200602397Z,2026-07-03,wec-step1-20260703T200602397Z,20260703,14909|3586|641,14909|20260703,"Friday, July 3, 2026",14909,"{""ring_no"":""641"",""ring_name"":""Hunter 2- Robbie Cyphert"",""ring_day_no"":""3586"",""date"":""Friday, July 3, 2026""}",2026-07-03,Hunter 2- Robbie Cyphert,"[""recxjPhTedwJlBFXR""]",22
recAIcPaRKtyQKAte,get_ring_days.php,4202,ANNEX,648,14909|2026-07-03|wec-step1-20260703T200602397Z,2026-07-03,wec-step1-20260703T200602397Z,20260703,14909|4202|648,14909|20260703,"Friday, July 3, 2026",14909,"{""ring_no"":""648"",""ring_name"":""Jumper Annex - Gary Gregory"",""ring_day_no"":""4202"",""date"":""Friday, July 3, 2026""}",2026-07-03,Jumper Annex - Gary Gregory,"[""recdOpRcCpZCgTIB5""]",2
recIzmkvFbDg8V8Kd,get_ring_days.php,3598,INDOOR 5,643,14909|2026-07-03|wec-step1-20260703T200602397Z,2026-07-03,wec-step1-20260703T200602397Z,20260703,14909|3598|643,14909|20260703,"Friday, July 3, 2026",14909,"{""ring_no"":""643"",""ring_name"":""Indoor 5 - Cassie Goebel"",""ring_day_no"":""3598"",""date"":""Friday, July 3, 2026""}",2026-07-03,Indoor 5 - Cassie Goebel,"[""reccD74ljzoPmTlzJ""]",15
recK8x1ezn5O0F2pd,get_ring_days.php,3616,INDOOR 3,646,14909|2026-07-03|wec-step1-20260703T200602397Z,2026-07-03,wec-step1-20260703T200602397Z,20260703,14909|3616|646,14909|20260703,"Friday, July 3, 2026",14909,"{""ring_no"":""646"",""ring_name"":""Indoor 3"",""ring_day_no"":""3616"",""date"":""Friday, July 3, 2026""}",2026-07-03,Indoor 3,"[""recg57IKVemD6aTRO""]",13
recUj6M66gdz25yUA,get_ring_days.php,3580,GRAND,640,14909|2026-07-03|wec-step1-20260703T200602397Z,2026-07-03,wec-step1-20260703T200602397Z,20260703,14909|3580|640,14909|20260703,"Friday, July 3, 2026",14909,"{""ring_no"":""640"",""ring_name"":""WEC Grand Arena - Nate Poliquin"",""ring_day_no"":""3580"",""date"":""Friday, July 3, 2026""}",2026-07-03,WEC Grand Arena - Nate Poliquin,"[""rectNlCAHUsjH9nOp""]",1
recdcne3kyoin4tNy,get_ring_days.php,4320,INDOOR 4,747,14909|2026-07-03|wec-step1-20260703T200602397Z,2026-07-03,wec-step1-20260703T200602397Z,20260703,14909|4320|747,14909|20260703,"Friday, July 3, 2026",14909,"{""ring_no"":""747"",""ring_name"":""Indoor 4 - Lucy Bolton"",""ring_day_no"":""4320"",""date"":""Friday, July 3, 2026""}",2026-07-03,Indoor 4 - Lucy Bolton,"[""rece9hfLO92FS8fvE""]",14
recn94wyheuHLtl0B,get_ring_days.php,3610,INDOOR 2,645,14909|2026-07-03|wec-step1-20260703T200602397Z,2026-07-03,wec-step1-20260703T200602397Z,20260703,14909|3610|645,14909|20260703,"Friday, July 3, 2026",14909,"{""ring_no"":""645"",""ring_name"":""Indoor 2 - Jo Walker"",""ring_day_no"":""3610"",""date"":""Friday, July 3, 2026""}",2026-07-03,Indoor 2 - Jo Walker,"[""recScPGhIrfPpFVI9""]",12
recz72KTWq62WDahl,get_ring_days.php,3604,INDOOR 1,644,14909|2026-07-03|wec-step1-20260703T200602397Z,2026-07-03,wec-step1-20260703T200602397Z,20260703,14909|3604|644,14909|20260703,"Friday, July 3, 2026",14909,"{""ring_no"":""644"",""ring_name"":""Indoor 1- Sarah Haas"",""ring_day_no"":""3604"",""date"":""Friday, July 3, 2026""}",2026-07-03,Indoor 1- Sarah Haas,"[""recIhO37NHJsFm7eK""]",11
