record_id,entry_count,source_payload,show_no,ring_no,oc_id,focus_day_key,show_focus_key,run_id,date_text,ring_day_no,iso_date,event_type,source_endpoint,class_name,live_flag,event_id,ring_name,heartbeat_id,update_schedule_key,class_no,Last Modified,event_name,focus_day,hs_heartbeat,class_number,time_text,class_payout,test,test_date
recGluoIN9Y6sQnct,19,"{""event_id"":""59919"",""data_class"":""26855"",""data_name"":""632) 1.10m Jumper II.2b"",""data_time"":""7:30 am"",""data_entries"":""19""}",14909,642,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3592,2026-07-03,1,update_schedule.php,1.10m Jumper II.2b,false,59919,Indoor 6 - Brandon Serpico,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26855,26855,2026-07-03T12:48:11.000Z,632) 1.10m Jumper II.2b,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",632,7:30 am,,true,2026-07-03
recHJ0SFXfSd5PZfD,10,"{""event_id"":""63425"",""data_class"":""26748"",""data_name"":""257) USHJA Hunter 2'"",""data_time"":""9:30 am"",""data_entries"":""10""}",14909,747,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4320,2026-07-03,1,update_schedule.php,USHJA Hunter 2',false,63425,Indoor 4 - Lucy Bolton,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26748,26748,2026-07-03T14:54:18.000Z,257) USHJA Hunter 2',2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",257,9:30 am,,true,2026-07-03
recJHa4BGTAFpaktS,6,"{""event_id"":""63396"",""data_class"":""26908"",""data_name"":""514) Children's Equitation Flat"",""data_time"":""11:00 am"",""data_entries"":""6""}",14909,645,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3610,2026-07-03,1,update_schedule.php,Children's Equitation Flat,false,63396,Indoor 2 - Jo Walker,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26908,26908,2026-07-03T04:00:13.000Z,514) Children's Equitation Flat,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",514,11:00 am,,,
recK88Q1VeUorO8IE,0,"{""event_id"":""65140"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,643,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3598,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65140,Indoor 5 - Cassie Goebel,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3598|65140,0,2026-07-03T04:00:09.000Z,Ring Maintenance,2026-07-03,,,,,,
recKPdmjsYhyGyWSf,22,"{""event_id"":""59893"",""data_class"":""26829"",""data_name"":""647) $1000 1.35m Jumper II.2b"",""data_time"":""10:00 am"",""data_entries"":""22""}",14909,640,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3580,2026-07-03,1,update_schedule.php,1.35m Jumper II.2b,false,59893,WEC Grand Arena - Nate Poliquin,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26829,26829,2026-07-03T15:12:09.000Z,647) $1000 1.35m Jumper II.2b,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",647,10:00 am,$1000,true,2026-07-03
recLqjkZlWJCli9R4,0,"{""event_id"":""65127"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,644,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3604,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65127,Indoor 1- Sarah Haas,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3604|65127,0,2026-07-03T04:00:11.000Z,Ring Maintenance,2026-07-03,,,,,,
recNpF6uotR3QFBnT,3,"{""event_id"":""63428"",""data_class"":""26739"",""data_name"":""253) Future Hunter 2'"",""data_time"":""9:30 am"",""data_entries"":""3""}",14909,747,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4320,2026-07-03,1,update_schedule.php,Future Hunter 2',false,63428,Indoor 4 - Lucy Bolton,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26739,26739,2026-07-03T14:30:19.000Z,253) Future Hunter 2',2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",253,9:30 am,,true,2026-07-03
recOvmOGe7KRfn3OX,0,"{""event_id"":""65120"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,643,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3598,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65120,Indoor 5 - Cassie Goebel,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3598|65120,0,2026-07-03T04:00:09.000Z,Ring Maintenance,2026-07-03,,,,,,
recOwPtKEK98r3Pqd,0,"{""event_id"":""65116"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,642,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3592,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65116,Indoor 6 - Brandon Serpico,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3592|65116,0,2026-07-03T04:00:07.000Z,Ring Maintenance,2026-07-03,,,,,,
recPXK1eKFwoFlYOh,11,"{""event_id"":""59814"",""data_class"":""26911"",""data_name"":""517) Low Children's Equitation Flat"",""data_time"":""3:00 pm"",""data_entries"":""11""}",14909,645,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3610,2026-07-03,1,update_schedule.php,Low Children's Equitation Flat,false,59814,Indoor 2 - Jo Walker,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26911,26911,2026-07-03T04:00:13.000Z,517) Low Children's Equitation Flat,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",517,3:00 pm,,,
