record_id,show_no,rider,rider_display,tag,active
rec05p5hQBPfpTp9d,14909,Angela Gais,Angela,,1
rec07LS8TvgJcQ6tb,14909,Khloe Kerins,Khloe,,1
rec0FUCzNUyfQf4RT,14909,Sydney Shelby,Sydney,,1
rec0G59EnQRnDao5X,14909,Stella Kraemer,Stella,,1
rec0TKCGVZiPGwRC9,14909,David Miller,David,,1
rec0YrrKHcxLsnQPN,14909,Azhara Chin,Azhara,,1
rec0fQwv2Q9zJck2B,14909,Angela R. Calkins,Angela,,1
rec0kl9lhDCTw4bxG,14909,Liliana Nora Menesi,Liliana,,1
rec0lADouwqghMAAd,14909,Sabine Clark,Sabine,,1
rec0lXJIFvHi7Oj5p,14909,Wilton J. Porter,Wilton,,1
rec0otuCDdzkSG3ar,14909,Mary Jo Engstrom,Mary,,1
rec0wQobR70eQk97e,14909,Antonio J. Martinez,Antonio,,1
rec0x9rLbWUGqvGPz,14909,Zendaya Horner Brown,Zendaya,,1
rec0y8f9IiGiQ5gl4,14909,Lauren Flesher,Lauren,,1
rec12lzOQKtI0Qkv5,14909,Sierra Montgomery,Sierra,,1
rec19k29zjaRFLbaR,14909,Wendy B. Rice,Wendy,,1
rec1AU4meQ1ffufH5,14909,Liza Guettler,Liza,,1
rec1FJm9aRkMpJgMG,14909,Samantha Corda-Mcgreevy,Samantha,,1
rec1Mofs0ZZD7KgnX,14909,Jose Montenegro,Jose,,1
rec1N6F0tZ2Z6a0dQ,14909,Lola Applebaum,Lola,,1
rec1SXsCfn8ggGYct,14909,Diego Gaspar De Goes,Diego,,1
rec1mLXyML08iCPpy,14909,Anne C. Hormel,Anne,,1
rec1rRr9PfJ44u4mU,14909,Marli Scott,Marli,,1
rec1s3YEvz6wRp9fD,14909,Daina Greene,Daina,,1
rec1xNTEGa3rUIdFf,14909,Stella Gavin,Stella,,1
rec22CzM2EIb7egZV,14909,Paige Jones,Paige,,1
rec24xHDnlr7Kj1lY,14909,Katherine Nunez,Katherine,,1
rec26sQvra3iWNE6x,14909,Ashley Wallace,Ashley,,1
rec292OiOlkSoYFMx,14909,Farrah Whiddon,Farrah,,1
rec29Ue0IrWbswtu3,14909,Linden Nguyen,Linden,,1
rec2JzAL6u5FpzJlI,14909,Madison Rose,Madison,,1
rec2R7jOxeWvL99ey,14909,Avery Rush,Avery,,1
rec2VxNAPxqPlbevF,14909,Faith Allen,Faith,,1
rec2ZzSAukMmfPita,14909,Braeden Simons,Braeden,,1
rec2ddD10LiZx0odI,14909,Melissa A. Hirt,Melissa,,1
rec2dwRqXzc72yGn6,14909,Lainey Lovell,Lainey,,1
rec2fj8BKdynfDg3D,14909,Evelyn Byron,Evelyn,,1
rec2gmXjnMZbtz4xW,14909,Jodie Camberg,Jodie,,1
rec2hEDYAViWnSl7c,14909,Dana Narayanappa,Dana,,1
rec2jDKTGlikuVdSU,14909,Gabriel Zampieri,Gabriel,,1
rec2kTgEMh08Ob6b3,14909,Kendall King,Kendall,,1
rec2kwFzPKreJnevI,14909,Kylie J. Geddes,Kylie,,1
rec2wAS2YrbXNmcut,14909,Jenna Wentroth,Jenna,,1
rec2xuBuBfqg5ZicM,14909,Kimberly Blake Roth,Kimberly,,1
rec306qqGUUlLMqAD,14909,Brooke Borges,Brooke,,1
rec32BAUTXsxaWP4w,14909,Violetta Bergonzoli,Violetta,,1
rec32DqxNbjRYwPa0,14909,Brooklyn Castellano,Brooklyn,,1
rec3BxcQLNZKJwRBi,14909,Maya Denis,Maya,,1
rec3JI6oeMRwsEyEb,14909,Olivia Johnson,Olivia,,1
rec3KyPkvRMIFK5KU,14909,Carson L. Ruff,Carson,,1
rec3PaVo95svCEkcx,14909,Sara Lopez,Sara,,1
