record_id,show_no,trainer,trainer_display,tag,active
rec0NNSv8vJImVEWF,14909,Kaileigh Brandt,Kaileigh Brandt,,0
rec0OHl8PfuMKFsyt,14909,Laura Gaither,Laura Gaither,,0
rec0bJCjAgTlhNspi,14909,Justine Raven,Justine Raven,,0
rec0eBWOxYRez99HS,14909,Lia Screnci,Lia Screnci,,0
rec0mxYvqyiMsXHtK,14909,Tom Monaghan,Tom Monaghan,,0
rec0wCs5ZzmAW8kSL,14909,Morgan Taylor,Morgan Taylor,,0
rec17fXVv4zXio64e,14909,Todd D. Minikus,Todd D. Minikus,,0
rec18D1jOyn6X42k9,14909,Megan O'Brien,Megan O'Brien,,0
rec1FgPVFDZY2PmXP,14909,Carlos Aguirre,Carlos Aguirre,,0
rec1I0IvFKaYQa6K4,14909,Wendy J. Hechler,Wendy J. Hechler,,0
rec1WjmrNr6i9f42W,14909,Matthias Hollberg,Matthias Hollberg,,0
rec1sLb3hI5Aty4bi,14909,Candice King,Candice King,,0
rec1uM1UghdnlA4Hq,14909,Ryan Michael Genn,Ryan Michael Genn,,0
rec1yYXh3xuiGBsAr,14909,Maya Denis,Maya Denis,,0
rec1yq40bnU1koghd,14909,Kimberly Nadler-Russo,Kimberly Nadler-Russo,,0
rec24pSWnvy9FcJe9,14909,Luke Sassi,Luke Sassi,,0
rec2F4zRJZGDzG0M2,14909,Daniela Roy,Daniela Roy,,0
rec2XNYc72zstptO7,14909,Jennifer Phethean,Jennifer Phethean,,0
rec2q0QwewZOAeofV,14909,Juan J. Bancalari,Juan J. Bancalari,,0
rec3S9KikkQrKgX8L,14909,Anne L. Bingler,Anne L. Bingler,,0
rec3UdGAtomDxEozr,14909,Amanda Flint,Amanda Flint,,0
rec3YXaHMBB02whyu,14909,Vago,Vago,,0
rec3YjZUNtuqDJ0nC,14909,Jacqueline Steffens Daly,Jacqueline Steffens Daly,,0
rec3Zk0aiDpx2KX0O,14909,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,,0
rec456G3R5wbsgOk8,14909,Rebecca Warth,Rebecca Warth,,0
rec4DXi4PILWoXlnx,14909,Priscilla Broger,Priscilla Broger,,0
rec4KAl96j0uH9if9,14909,Marcus Gruenthal,Marcus Gruenthal,,0
rec52TGSBsR6kN4qH,14909,Kelly Saporito,Kelly Saporito,,0
rec5Ut33CL5koblpZ,14909,Jane C. Ehrhart,Jane C. Ehrhart,,0
rec5VNiNYnXVAnanj,14909,Raishun Burch,Raishun Burch,,0
