class_label,class_number,class_name,result_entry_count,class_no,sect_no,has_score,has_prize
"419) $1500 Green Pony Hunter Classic 2'9""/2'6""/2'3""",419,"$1500 Green Pony Hunter Classic 2'9""/2'6""/2'3""",7,29463,0,true,true
420) $1000 Children's Pony Hunter Classic 2'/2'6',420,$1000 Children's Pony Hunter Classic 2'/2'6',6,29193,0,true,true
421) $1500 NAL/WIHS Children's Hunter Classic 3',421,$1500 NAL/WIHS Children's Hunter Classic 3',9,33542,0,true,true
423) $1500 NAL/WIHS Adult Hunter Classic 18-35 3',423,$1500 NAL/WIHS Adult Hunter Classic 18-35 3',11,29196,0,true,true
424) $1500 NAL/WIHS Adult Hunter Classic 36+ 3',424,$1500 NAL/WIHS Adult Hunter Classic 36+ 3',7,29197,0,true,true
"425) $1250 Low Children's Hunter Classic 2'6""",425,"$1250 Low Children's Hunter Classic 2'6""",11,33454,0,true,true
427) $1250 Low Adult Hunter Classic 18-35 2'6',427,$1250 Low Adult Hunter Classic 18-35 2'6',7,29199,0,true,true
428) $1250 Low Adult Hunter Classic 36+ 2'6',428,$1250 Low Adult Hunter Classic 36+ 2'6',9,29200,0,true,true
430) $1000 USHJA Green Hunter Incentive 3',430,$1000 USHJA Green Hunter Incentive 3',1,29181,0,true,true
"431) $1000 USHJA Green Hunter Incentive 3'3""",431,"$1000 USHJA Green Hunter Incentive 3'3""",4,29182,0,true,true
500) Equitation 11/U 2',500,Equitation 11/U 2',3,29202,10440,false,false
501) Equitation 11/U 2',501,Equitation 11/U 2',3,29203,10440,false,false
502) Equitation 11/U Flat,502,Equitation 11/U Flat,3,29204,10440,false,false
503) Equitation 12-14 2'9',503,Equitation 12-14 2'9',4,29205,10444,false,false
504) Equitation 12-14 2'9',504,Equitation 12-14 2'9',4,29206,10444,false,false
505) Equitation 12-14 Flat,505,Equitation 12-14 Flat,4,29207,10444,false,false
"506) Equitation 15-17 3'3""",506,"Equitation 15-17 3'3""",5,29208,10447,false,false
"507) Equitation 15-17 3'3""",507,"Equitation 15-17 3'3""",5,29209,10447,false,false
508) Equitation 15-17 Flat,508,Equitation 15-17 Flat,5,29210,10447,false,false
509) Adult Equitation 3',509,Adult Equitation 3',6,29211,10459,false,false
510) Adult Equitation 3',510,Adult Equitation 3',5,29212,10459,false,false
511) Adult Equitation Flat,511,Adult Equitation Flat,5,29213,10459,false,false
512) Children's Equitation 3',512,Children's Equitation 3',6,29214,10460,false,false
513) Children's Equitation 3',513,Children's Equitation 3',6,29215,10460,false,false
514) Children's Equitation Flat,514,Children's Equitation Flat,6,29216,10460,false,false
"515) Low Children's Equitation 2'6""",515,"Low Children's Equitation 2'6""",7,29217,10462,false,false
"516) Low Children's Equitation 2'6""",516,"Low Children's Equitation 2'6""",7,29218,10462,false,false
517) Low Children's Equitation Flat,517,Low Children's Equitation Flat,7,29219,10462,false,false
"518) Low Adult Equitation 2'6""",518,"Low Adult Equitation 2'6""",6,29220,10464,false,false
519) Low Adult Equitation 2'6',519,Low Adult Equitation 2'6',6,29221,10464,false,false
520) Low Adult Equitation Flat,520,Low Adult Equitation Flat,4,29222,10464,false,false
"521) Pony Equitation 2'3""/2'6""/2'9""",521,"Pony Equitation 2'3""/2'6""/2'9""",4,29493,10541,false,false
"522) Pony Equitation 2'3""/2'6""/2'9""",522,"Pony Equitation 2'3""/2'6""/2'9""",2,29494,10541,false,false
523) Pony Equitation Flat,523,Pony Equitation Flat,4,29495,10541,false,false
