class_number,class_name,entry_count,class_no,sect_no
283,"Baby Green Hunter 2'6""",6,28539,10361
284,"Baby Green Hunter U/S 2'6""",7,28540,10361
310,"Low Children's Hunter 2'6""",5,28840,10363
311,"Low Children's Hunter (1st rnd Classic) 2'6""",5,28841,10363
312,"Low Children's Hunter 2'6""",5,28842,10363
313,"Low Children's Hunter 2'6""",5,28843,10363
314,"Low Children's Hunter U/S/2'6""",5,28844,10363
315,"Low Adult Hunter 2'6""",22,28332,10365
316,"Low Adult Hunter (1st rnd Classic) 2'6""",21,28770,10365
317,"Low Adult Hunter 2'6""",18,28771,10365
318,"Low Adult Hunter 2'6""",18,28772,10365
319,"Low Adult Hunter U/S 2'6""",17,28773,10365
404,"$5,000 USHJA UF Vet Hunter Derby 3'",20,28659,0
408,"$750 WEC 2'6"" Hunt and Go Derby",9,28658,0
412,"$1500 AO/JR Hunter Classic 3'3""/3'6""",8,33482,0
418,"$750 Pony Hunter Classic 2'3""/2'6""/2'9""",0,28666,0
419,"$500 Green Pony Hunter Classic 2'3""/2'6""/2'9""",0,28665,0
420,"$350 Children's Pony Hunter Classic 2'6""/2'",6,28667,0
421,$1000 Children's Hunter Classic 3',9,28668,0
423,$1000 Adult Hunter Classic 3',7,28669,0
425,"$500 Low Adult/Child Hunter Classic 2'6""",21,33483,0
500,Equitation 11/U 2',0,28673,10260
501,Equitation 11/U 2',0,28674,10260
502,Equitation 11/U Flat,0,28675,10260
503,Equitation 12-14 2'9',4,28676,10264
504,Equitation 12-14 2'9',4,28677,10264
505,Equitation 12-14 Flat,4,28678,10264
506,"Equitation 15-17 3'3""",4,28679,10267
507,"Equitation 15-17 3'3""",4,28680,10267
508,Equitation 15-17 Flat,4,28681,10267
509,Adult/Child Equitation 3',6,33462,11985
510,Adult/Child Equitation 3',6,33463,11985
511,Adult/Child Equitation Flat,6,33464,11985
515,"Low Children's Equitation 2'6""",5,28688,10282
516,"Low Children's Equitation 2'6""",5,28689,10282
517,Low Children's Equitation Flat,5,28690,10282
518,"Low Adult Equitation 2'6""",8,28691,10284
519,"Low Adult Equitation 2'6""",7,28692,10284
520,Low Adult Equitation Flat,6,28693,10284
521,"Pony Equitation 2'3""/2'6""/2'9""",3,28694,10229
522,"Pony Equitation 2'3""/2'6""/2'9""",3,28695,10229
523,Pony Equitation Flat,2,28696,10229
