record_id,show_no,trainer,trainer_display,tag,active
rec0NNSv8vJImVEWF,14906,Kaileigh Brandt,Kaileigh Brandt,,0
rec0OHl8PfuMKFsyt,14906,Laura Gaither,Laura Gaither,,0
rec0eBWOxYRez99HS,14906,Lia Screnci,Lia Screnci,,0
rec0mxYvqyiMsXHtK,14906,Tom Monaghan,Tom Monaghan,,0
rec0wCs5ZzmAW8kSL,14906,Morgan Taylor,Morgan Taylor,,0
rec17fXVv4zXio64e,14906,Todd D. Minikus,Todd D. Minikus,,0
rec18D1jOyn6X42k9,14906,Megan O'Brien,Megan O'Brien,,0
rec1FgPVFDZY2PmXP,14906,Carlos Aguirre,Carlos Aguirre,,0
rec1I0IvFKaYQa6K4,14906,Wendy J. Hechler,Wendy J. Hechler,,0
rec1WjmrNr6i9f42W,14906,Matthias Hollberg,Matthias Hollberg,,0
rec1sLb3hI5Aty4bi,14906,Candice King,Candice King,,0
rec1uM1UghdnlA4Hq,14906,Ryan Michael Genn,Ryan Michael Genn,,0
rec1yYXh3xuiGBsAr,14906,Maya Denis,Maya Denis,,0
rec24pSWnvy9FcJe9,14906,Luke Sassi,Luke Sassi,,0
rec2F4zRJZGDzG0M2,14906,Daniela Roy,Daniela Roy,,0
rec2XNYc72zstptO7,14906,Jennifer Phethean,Jennifer Phethean,,0
rec2q0QwewZOAeofV,14906,Juan J. Bancalari,Juan J. Bancalari,,0
rec3S9KikkQrKgX8L,14906,Anne L. Bingler,Anne L. Bingler,,0
rec3YjZUNtuqDJ0nC,14906,Jacqueline Steffens Daly,Jacqueline Steffens Daly,,0
rec3Zk0aiDpx2KX0O,14906,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,,0
rec456G3R5wbsgOk8,14906,Rebecca Warth,Rebecca Warth,,0
rec4DXi4PILWoXlnx,14906,Priscilla Broger,Priscilla Broger,,0
rec4KAl96j0uH9if9,14906,Marcus Gruenthal,Marcus Gruenthal,,0
rec52TGSBsR6kN4qH,14906,Kelly Saporito,Kelly Saporito,,0
rec5Ut33CL5koblpZ,14906,Jane C. Ehrhart,Jane C. Ehrhart,,0
rec5VNiNYnXVAnanj,14906,Raishun Burch,Raishun Burch,,0
rec5Zl0N5TXr6Cc95,14906,Celso Ariani,Celso Ariani,,0
rec5aqepy6NAiz9DN,14906,Tony Doran,Tony Doran,,0
rec66J2Ps6QIW80Eq,14906,Terry L. Brown,Terry L. Brown,,0
rec6D1SUrQr1IYJyM,14906,Lindsay Haselden,Lindsay Haselden,,0
rec6UiZPMcNsltg3J,14906,Brian Murphy,Brian Murphy,,0
rec6npIsj2ldcOqWZ,14906,Katie Rudnick,Katie Rudnick,,0
rec6szCleq8yE3JIq,14906,Traci A. Weston,Traci A. Weston,,0
rec7DXITsIiRKUwVT,14906,Hanna Pieri,Hanna Pieri,,0
rec7ppaIMqZuirHoA,14906,Isaac Leffkowitz,Isaac Leffkowitz,,0
rec7yDpRrnFHdpEyR,14906,Taylor St Jacques,Taylor St Jacques,,0
rec9BblNEY7tpcFkm,14906,Derek Petersen,Derek Petersen,,0
rec9hQVBgpLiTbKmW,14906,Angela Swanson,Angela Swanson,,0
rec9nE2B2j1bOmqTB,14906,John Michael Durr,John Michael Durr,,0
recAQw955LG6uVCeK,14906,Kirk Webby,Kirk Webby,,0
recAxFIoUH9sfVhnS,14906,Scott Keach,Scott Keach,,0
recBAzsT29cV74CnZ,14906,Gianni Gabrielli,Gianni Gabrielli,,0
recBIuBmnjIBnlRT9,14906,Wilton J. Porter,Wilton J. Porter,,0
recBVRfeR9i4COiwE,14906,Stephanie Free,Stephanie Free,,0
recBZQ9mU0STvFbPL,14906,Juliann W. Cunningham,Juliann W. Cunningham,,0
recBrA49Tjkqwn7cF,14906,Caitlin Maloney,Caitlin Maloney,,0
recBrEtNpXmVIRzK3,14906,Casey M. Millis,Casey M. Millis,,0
recC9TviwdEjxgABW,14906,Dana G. Waters,Dana G. Waters,,0
recCFl6Vtsl54ifqL,14906,River A. Wylde,River A. Wylde,,0
recCbBJMoJvofncZW,14906,Vicente Guillen,Vicente Guillen,,0
recD8d72oDpyNe2Hi,14906,Pamela Gomez,Pamela Gomez,,0
recDrdlgXZrGchjA6,14906,Helen Goddard,Helen Goddard,,0
recFIHTcArQhILyAc,14906,Alan Korotkin,CWF,Alan Korotkin,1
recFYFjihQUcBvh6P,14906,Ivy Nyberg,Ivy Nyberg,,0
recGAk78qKHuklkI5,14906,Savannah Groselle,Savannah Groselle,,0
recGOZOt71dcEAmvp,14906,Declan Egan,Declan Egan,,0
recGQXJ8M2eFcl9W7,14906,Stephanie Frey,Stephanie Frey,,0
recGc5Brn264xxwLl,14906,Angela Gais,Angela Gais,,0
recHNjiHOpvxP5N0r,14906,Rob Billings,Rob Billings,,0
recHOKa6KSlvHuryw,14906,Lauren E. Hough,Lauren E. Hough,,0
recHOVfz50z5VV3gG,14906,Lindsay Barrack,Lindsay Barrack,,0
recHr7nRG7cRW4hq4,14906,Abby Strohmeyer,Abby Strohmeyer,,0
recI1AZhpQDfY3cRY,14906,Jasmine Walsh,Jasmine Walsh,,0
recIKamH37qEBTrF7,14906,Anthony Sauriol,Anthony Sauriol,,0
recIKurBKhyE9TxmA,14906,Andras Szieberth,Andras Szieberth,,0
recIkAyumy88qaBpt,14906,Lukene Arenas,Lukene Arenas,,0
recIorvNwvWPlOR66,14906,Manuel G. Torres,Manuel G. Torres,,0
recJe0LFDSWmZkYs4,14906,Kelsey Duffy,Kelsey Duffy,,0
recJw4KTGszq5ixgY,14906,Alexandra Goetze Bell,Alexandra Goetze Bell,,0
recJyvaqZ3spBq50v,14906,Ashley Romano,Ashley Romano,,0
recKPpIDSj1ofUcQV,14906,Michael K. Kennedy,Michael K. Kennedy,,0
recKZfdrFY1v1ROxJ,14906,Lucia Rivas,Lucia Rivas,,0
recMFDhEMIxKX7fmX,14906,Terrie E. Shibley,Terrie E. Shibley,,0
recMir2WcmMLTzpZq,14906,Erica Robson,Erica Robson,,0
recMsKXGUQA6BQOth,14906,Kim Taylor,Kim Taylor,,0
recN9E8BVaEfvKU1x,14906,Matthew Le Master,Matthew Le Master,,0
recNSLAabY22Iw1Z1,14906,John Paulsen,John Paulsen,,0
recNpo5pbhuzTKAIi,14906,Jessica Collins,Jessica Collins,,0
recNr3QsitBPL9Xil,14906,Scott Diffey,Scott Diffey,,0
recNsOB5RbtRbnQ37,14906,Michael J. Mccormick,Michael J. Mccormick,,0
recNt8RCU3OfCIZg6,14906,Samantha Mccleerey,Samantha Mccleerey,,0
recOdyCszUe4VTxPo,14906,Darragh Kerins,Darragh Kerins,,0
recPMskDVL2pcUFPb,14906,Katie Moniz Floyd,Katie Moniz Floyd,,0
recPdCHJm1UqhZjLu,14906,Brooklyn Castellano,Brooklyn Castellano,,0
recQKeo6875JCjkvf,14906,Bruno Diniz Das Neves,Bruno Diniz Das Neves,,0
recQUXHjJZbV57FsH,14906,Timothy Maddrix,Timothy Maddrix,,0
recQXTpW29gQ8CQhu,14906,Madison Daughdrill,Madison Daughdrill,,0
recQduwaFmkfTL3Xq,14906,Carson L. Ruff,Carson L. Ruff,,0
recQexushi8p8Xgll,14906,Mari Gromkowski,Mari Gromkowski,,0
recQp3uwHQgr5c03c,14906,Maddison Stephen,Maddison Stephen,,0
recRlcCb6UzGjsfM8,14906,Addison Reed,Addison Reed,,0
recRnYU8EgCMCN4Tl,14906,Matt Martin,Matt Martin,,0
recS6sxPEULRVow6v,14906,Lincoln Russell,Lincoln Russell,,0
recS9EfEO0iZet31e,14906,Conan Conway,Conan Conway,,0
recSN0eF04okgAD8J,14906,Lisa Hasenbeck,Lisa Hasenbeck,,0
recSN4WGiXjlJgPc6,14906,Lesley Grant-Law,Lesley Grant-Law,,0
recSXI5qNI2oXZ7rL,14906,Mike Holtkamp,Mike Holtkamp,,0
recSXiCPwDmQ76cuQ,14906,Jake Evans,Jake Evans,,0
recScvZPMMmuVjpAg,14906,Maleah Lang Mcmahon,Maleah Lang Mcmahon,,0
recTFNzdSZ2WKI4Fx,14906,Madison Rose,Madison Rose,,0
recU1AQcmSYuCkBtn,14906,Patrick R. Wilcher,Patrick R. Wilcher,,0
recU3IaijfKlg4V10,14906,Brittni A. Raflowitz,Brittni A. Raflowitz,,0
recU7zogAuLVNKIfQ,14906,Justine L. Dutton Barnard,Justine L. Dutton Barnard,,0
recUSP9h7nazUAhZI,14906,Dominique H. Damico,Dominique H. Damico,,0
recUjyRd7k0lTmyxS,14906,Aurora R. Rangel De Alba,Aurora R. Rangel De Alba,,0
recUlyG8wMwlKopQw,14906,Shannon Y. Clifford,Shannon Y. Clifford,,0
recUpaBE2IKFd0lXw,14906,Jessica Cross,Jessica Cross,,0
recUr6Fi772oNLJ5v,14906,Marissa Creviston,Marissa Creviston,,0
recUuNz0eo9E9uBRD,14906,Joachim Englert,Joachim Englert,,0
recUyPOPB2XxAGJpk,14906,Jenny Miller,Jenny Miller,,0
recV9UeEpcw6UDEM9,14906,David Cameron,David Cameron,,0
recVpkQDmdDLWOnf7,14906,Elizabeth C. de Golian,Elizabeth C. de Golian,,0
recVsz59iVCmUI0Nu,14906,Kyle Dewar,Kyle Dewar,,0
recWQdJafSZQqtOiB,14906,Bobby Boulger,Bobby Boulger,,0
recWb8kIRsV2w5Zj9,14906,Lauren Schweppe,Lauren Schweppe,,0
recWddmd29X3mTMwN,14906,Maisie Wagner,Maisie Wagner,,0
recWm4nXbUtPYpLCL,14906,Juan E. Hidalgo,Juan E. Hidalgo,,0
recWoImYqrWG0E1xh,14906,Jared P. Petersen,Jared P. Petersen,,0
recXKfhF5qV7KjRHI,14906,George J. Bessette,George J. Bessette,,0
recXPKDGyJI2y5uSY,14906,Jacob Fletcher,Jacob Fletcher,,0
recXVR08ixMVy2UwY,14906,Emily Plante,Emily Plante,,0
recXocXm551bESpPa,14906,Dawn Hersey,Dawn Hersey,,0
recXxIrcwPWBKHaoC,14906,Clark Montgomery,Clark Montgomery,,0
recXyfjbTanYPcKpl,14906,Cristobal Castro,Cristobal Castro,,0
recYF9eSOEpYZn4Ko,14906,Kacey Conway,Kacey Conway,,0
recYSQRJjZGVMtbrM,14906,Josh Dolan,Josh Dolan,,0
recYYSG3rW61gLanZ,14906,Heather Froehlich Cortell,Heather Froehlich Cortell,,0
recZ3kmzycB7xwLfv,14906,Danielle Platt,Danielle Platt,,0
recZ41cgnoPOR4VSU,14906,Fabian Herrera,Fabian Herrera,,0
recbDjphoL8qMtSeW,14906,Megan Wexler,Megan Wexler,,0
recbHXO4TfreVzAVE,14906,Alyssa Amberge,Alyssa Amberge,,0
recc7BtlSMC456iwd,14906,Robert Mendoza,Robert Mendoza,,0
reccPpBL4rQYdBMJP,14906,Alison Jones,Alison Jones,,0
reccRPUdMRZMCiJuf,14906,Benjamin J. Meredith,Benjamin J. Meredith,,0
reccVab1jS62QQ5la,14906,Juan Benítez,Juan Benítez,,0
recclCEkrFrjDDv36,14906,Captain Brian Cournane,Captain Brian Cournane,,0
reccnhZlVCHJXjTVi,14906,Taryn M. Adamy,Taryn M. Adamy,,0
reccxT6yO7DM4d3NC,14906,Alyssa Pascucci,Alyssa Pascucci,,0
recdHGo38u6gzbP2H,14906,Taylor Manning,Taylor Manning,,0
recdxilKHsN0qZ3Fz,14906,Stacey L. Reser,Stacey L. Reser,,0
rece9iPIoEEaCPIqS,14906,Hanna R. Egan,Hanna R. Egan,,0
receCZCsNdOQDE9z9,14906,Camille Maynard,Camille Maynard,,0
recel7Tui1CFiT95R,14906,August Torsilieri,August Torsilieri,,0
recfAVsjydccXTqve,14906,Hector Florentino,Hector Florentino,,0
recfC6qStEmrNdY3c,14906,Megan Gardiner,Megan Gardiner,,0
recfKINr0VpNjmEXZ,14906,Michael Connors,Michael Connors,,0
recfWYHJT3O9VG1TG,14906,Thea N. Stinnett,Thea N. Stinnett,,0
recgDRmlgICPwHaba,14906,Caroline Willard Briles,Caroline Willard Briles,,0
recgLDs1PX5pujyno,14906,Mario Garcia,Mario Garcia,,0
recgYbnUCVZoIzP1M,14906,Joshua Tabor,Joshua Tabor,,0
rech8z7SrtfRDMN0j,14906,Lindsay Standley,Lindsay Standley,,0
rechIeLAeG0AY6zFc,14906,Bibby F. Hill,Bibby F. Hill,,0
rechMdfBTsAkaoR7P,14906,Ashlynn Meuchel,Ashlynn Meuchel,,0
rechQszLeuxBMYqll,14906,Sven Frei,Sven Frei,,0
reci3OiwSw0ssqcKI,14906,Terry Gonzalez,Terry Gonzalez,,0
reciFw1xeBgWRjqTt,14906,Natalie Johnson Russell,Natalie Johnson Russell,,0
reciQqSfWbMiP5zxf,14906,Juan M. Bolanos,Juan M. Bolanos,,0
recjYsJmAKVPUAG2i,14906,Luciano Dome,Luciano Dome,,0
recjs9szuz6Ll0w50,14906,Elizabeth Solomon,Elizabeth Solomon,,0
reckdATr2NvXwU0Ah,14906,Davide Troncanetti,Davide Troncanetti,,0
reckwt4VtWr7R1D6A,14906,Annalee Bennett,Annalee Bennett,,0
reckydHWVV9YphkZt,14906,H Dougl Schreiber,H Dougl Schreiber,,0
recl4930Uvn00qNs0,14906,Andres A. Correa,Andres A. Correa,,0
reclHVeeKHQlhkXJF,14906,Robert P. Stucky,Robert P. Stucky,,0
reclpyjsxImYb6Ul2,14906,Brooke Eddy,Brooke Eddy,,0
reclu4ZfxeCUoDgLA,14906,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,,0
recmCyrv5t0l7hgsj,14906,Katlynn Butler,Katlynn Butler,,0
recmTGLWfZLnyH6TK,14906,Ben Taylor,Ben Taylor,,0
recnRRpu2nz5AuBj6,14906,Derek Reed,Derek Reed,,0
recnfUPcKk9Gyyfct,14906,Tara G. Bostwick,Tara G. Bostwick,,0
recnutMCbWmttrhyI,14906,Samuel Parot,Samuel Parot,,0
recoD21rUN9Qq4pgV,14906,Ashlee Bond,Ashlee Bond,,0
recoIakTck18pHikM,14906,Antonio J. Martinez,Antonio J. Martinez,,0
recoecRalvylo1ERb,14906,Dennis Mitchell,Dennis Mitchell,,0
recp8AfepuIJngrGM,14906,Debra L. Ward,Debra L. Ward,,0
recpHh1PShXkwhM2V,14906,Leah Lang-Gluscic,Leah Lang-Gluscic,,0
recpwhIril531ls02,14906,Kathryn Delaney,Kathryn Delaney,,0
recq1xhVivniA66Lf,14906,Luis Sabino Goncalves,Luis Sabino Goncalves,,0
recq5CHnS6h3E8w58,14906,Kim E. Burnette,Kim E. Burnette,,0
recqByBk0EpjI9rLn,14906,Spencer Brittan,Spencer Brittan,,0
recqI6AanH1zv5CGV,14906,Jelmer Hoekstra,Jelmer Hoekstra,,0
recqebjIKM3r0tkep,14906,Stefano Baruzzo,Stefano Baruzzo,,0
recqmThVFmsIM6E8t,14906,Sharn L. Wordley,Sharn L. Wordley,,0
recrRgNvE5RPL730y,14906,Louise Pejstrup,Louise Pejstrup,,0
rect1laGmQRq2wmFo,14906,Anna Christina Gansauer,Anna Christina Gansauer,,0
rect7nOXb9JImTCcP,14906,Dana Ventrice,Dana Ventrice,,0
rectIwXBJfkrEAaOG,14906,Bryce P. Richardson,Bryce P. Richardson,,0
rectbL4oLPTwFxdNp,14906,Heather Dayner,Heather Dayner,,0
rectc0mHofDhAxAVA,14906,Andrew C. Welles,Andrew C. Welles,,0
rectkJACVgE6s05BM,14906,Izabella Mcnerney,Izabella Mcnerney,,0
rectmuBKijy6rE4R4,14906,No Trainer,No Trainer,,0
recuRmh8EsUEag8cU,14906,Troy Linback,Troy Linback,,0
recueBhFGFi7LFglR,14906,Jamie Reinheimer,Jamie Reinheimer,,0
recupQMhsCpx3otEi,14906,Stephen Dicarlo,Stephen Dicarlo,,0
recuv8jdRvTVv1a9Z,14906,Selcuk Koksalan,Selcuk Koksalan,,0
recvbfeJr2qBsQo29,14906,Jennifer Tate,Jennifer Tate,,0
recvcVgWYY3shMkZ4,14906,Molly A. Kenney,Molly A. Kenney,,0
recvco5SyVPeCmXTR,14906,Sarah Gordon,Sarah Gordon,,0
recvlKnVrjrfAQE3f,14906,Alyssa Venn,Alyssa Venn,,0
recw2AcufXB3OnYyW,14906,Derek Van Der Burgh,Derek Van Der Burgh,,0
recwFYOP4JHOhB8kQ,14906,Debbie L. Mccarthy-Connor,Debbie L. Mccarthy-Connor,,0
recz26WUGKrF94984,14906,Gonzalo Guevara,Gonzalo Guevara,,0
recz8qWzDP2cl0zXp,14906,Natalie Geller,Natalie Geller,,0
