record_id,class_hide_key,mirror_class_hide_key,show_no,class_no,hide_text,active
rec0T9IEKNP6TnGxv,14906|class_no:29347,14906|class_no:29347,14906,29347,Amateur Owner Hunter 3'3,1
rec1Hi7ooiWNT2ZEH,14906|class_no:33550,14906|class_no:33550,14906,33550,Pony Hunter Sm/Med 2'3,1
rec2o3t1TOCEi2gf8,14906|class_no:33546,14906|class_no:33546,14906,33546,Low Children's Hunter 2'/6',1
rec5VP63evsytM02G,14906|class_no:29032,14906|class_no:29032,14906,29032,Low Adult Hunter 36-54 2'6,1
rec5uyb94XZehrcAd,14906|class_no:33524,14906|class_no:33524,14906,33524,Junior Hunter 3'6,1
rec6tP4p2IOFMjgJL,14906|class_no:29039,14906|class_no:29039,14906,29039,Low Adult Hunter 55+ 2'6,1
rec77iyDtnQF974uc,14906|class_no:29431,14906|class_no:29431,14906,29431,Pony Hunter Classic 2'3/2'6,1
rec9tVD4U95xoC0su,14906|class_no:33551,14906|class_no:33551,14906,33551,Pony Hunter Sm/Med 2'3,1
recATjl7UrjnH9swM,14906|class_no:29008,14906|class_no:29008,14906,29008,Adult Hunter 55+ 3',1
recBnal98aQ9VTqxb,14906|class_no:29193,14906|class_no:29193,14906,29193,Children's Pony Hunter Classic 2'/2'6',1
recCk9ayt2EK5uIwA,14906|class_no:29200,14906|class_no:29200,14906,29200,Low Adult Hunter Classic 36+ 2'6',1
recJNJHPcMJyP9q5U,14906|class_no:29003,14906|class_no:29003,14906,29003,Adult Hunter 36-54 3',1
recJXWOEpi8mTZqHE,14906|class_no:29124,14906|class_no:29124,14906,29124,.95m Novice Amateur Classic II.2b,1
recK2wmy9MoYzzvDY,14906|class_no:33458,14906|class_no:33458,14906,33458,Crossrails 18,1
recOtAQJTSlSukVMY,14906|class_no:33539,14906|class_no:33539,14906,33539,Green Pony Hunter Med/Sm 2'6,1
recUn5d0xlFwS1Ilu,14906|text:midway drag,14906|text:midway drag,14906,,Midway Drag,1
recVnjbSwGn7osatr,14906|class_no:29034,14906|class_no:29034,14906,29034,Low Adult Hunter 36-54 2'6,1
recYPMLw86Vs1xZLT,14906|class_no:33454,14906|class_no:33454,14906,33454,Low Children's Hunter Classic 2'6,1
recYXlABPSz4dXBvu,14906|text:fei only,14906|text:fei only,14906,,FEI Only,1
recYaxU6qWSBDEaWk,14906|class_no:29343,14906|class_no:29343,14906,29343,Amateur Owner Hunter 3'3,1
recaB4yRFaWUHVuzX,14906|class_no:29028,14906|class_no:29028,14906,29028,Low Adult Hunter 18-35 2'6,1
recaOOTpsCyZPOXGD,14906|class_no:33534,14906|class_no:33534,14906,33534,Child Pony Hunter 2'/2'6,1
recbTOzLSiEOoWpzp,14906|class_no:28992,14906|class_no:28992,14906,28992,Child Hunter 15-17 3',1
recbps2O5zIQCSxx4,14906|class_no:29344,14906|class_no:29344,14906,29344,Amateur Owner Hunter 3'3,1
recc7147hdahyiKj8,14906|class_no:28987,14906|class_no:28987,14906,28987,Child Hunter 14/U 3',1
reccZJd4O8TJKv008,14906|class_no:28973,14906|class_no:28973,14906,28973,Pony Hunter Lg 2'9,1
recdUOEfOsCCuVGM3,14906|class_no:33523,14906|class_no:33523,14906,33523,Junior Hunter 3'6,1
recef6XZZBryHGEzl,14906|class_no:29342,14906|class_no:29342,14906,29342,Amateur Owner Hunter 3'3,1
recgP48kj05NEXlgH,14906|class_no:28957,14906|class_no:28957,14906,28957,Green Pony Hunter Lg 2'9,1
rech1qE6G9IQktyH4,14906|class_no:29201,14906|class_no:29201,14906,29201,Short Stirrup/Long Stirrup Classic 2',1
reciFEr2B9sQeIJJh,14906|class_no:29463,14906|class_no:29463,14906,29463,Green Pony Hunter Classic 2'9,1
reciej0RciYcdinVD,14906|class_no:29473,14906|class_no:29473,14906,29473,Short/Long Stirrup Hunter 2',1
recmrYEcH4ySGZoOF,14906|class_no:29196,14906|class_no:29196,14906,29196,NAL/WIHS Adult Hunter Classic 18-35 3',1
recmxHXT7rvS4XiFi,14906|class_no:29007,14906|class_no:29007,14906,29007,Adult Hunter 55+ 3',1
recoLkk0K4sT3bSZK,14906|class_no:33529,14906|class_no:33529,14906,33529,Junior Hunter 3'3,1
recp1htpy3A3SpNx8,14906|class_no:29348,14906|class_no:29348,14906,29348,Amateur Owner Hunter 3'3,1
recp7MireOuiQBJPO,14906|class_no:29197,14906|class_no:29197,14906,29197,NAL/WIHS Adult Hunter Classic 36+ 3',1
recpHHxCIX0fI5awf,14906|class_no:33541,14906|class_no:33541,14906,33541,Junior Hunter Classic 3'6,1
rectBLCezq0v213cL,14906|text:ring maintenance,14906|text:ring maintenance,14906,,Ring Maintenance,1
recuBxtXA0DlZ9DP1,14906|class_no:28998,14906|class_no:28998,14906,28998,Adult Hunter 18-35 3',1
recv6FfRkd6VESZTB,14906|class_no:29251,14906|class_no:29251,14906,29251,Walk Trot Equitation Ground Rails,1
recvZcwayqjS8umoa,14906|class_no:29199,14906|class_no:29199,14906,29199,Low Adult Hunter Classic 18-35 2'6',1
recxZZCTXVjRDZ7xV,14906|class_no:33558,14906|class_no:33558,14906,33558,Amateur Owner Hunter Classic 3'6,1
recxdjjRbfZaTCfPS,14906|class_no:29417,14906|class_no:29417,14906,29417,,1
recyVDQ2EPKW116ra,14906|class_no:33519,14906|class_no:33519,14906,33519,AO Hunter 3'6,1
