record_id,show_no,entry_no,entry_display,horse,horse_display,rider,rider_display,trainer,trainer_display,active
rec3DpKWemv7a6IRn,14906,2173,2173,Danilo Khr,Danilo Khr,Megan Gardiner,Megan,Megan Gardiner,Megan Gardiner,1
rec3FAchzIv5xBucH,14906,1707,1707,Ally Z,Ally Z,Anne L. Bingler,Anne,Anne L. Bingler,Anne L. Bingler,1
rec3K75aukCEzb49g,14906,1682,1682,Allegra Van Het Eikenhof Z,Allegra Van Het Eikenhof Z,Aria Collins,Aria,Jessica Collins,Jessica Collins,1
rec3MT7xCq5XAhkoB,14906,1916,1916,Hhf Levison's Pride,Hhf Levison's Pride,Bryce P. Richardson,Bryce,Bryce P. Richardson,Bryce P. Richardson,1
rec3Uv3yOB4Q5NwZf,14906,2954,2954,Dropshot Z,Dropshot Z,Paige Jones,Paige,Dominique H. Damico,Dominique H. Damico,1
rec3W1m1CRMqKtOku,14906,2383,2383,A La Quattro S,A La Quattro S,Vivian Heyer,Vivian,August Torsilieri,August Torsilieri,1
rec3YkBAt3T7g2M9W,14906,1187,1187,Phantom,Phantom,Adelyn Miller,Adelyn Miller,Stephanie Free,Stephanie Free,1
rec3Z99UEZL8sSNY7,14906,1095,1095,Cabana Boy,Cabana Boy,Isaac Leffkowitz,Isaac,Isaac Leffkowitz,Isaac Leffkowitz,1
rec3bLIGAk2dqZnDe,14906,3034,3034,Napoleon,Napoleon,Robert P. Stucky,Robert,Robert P. Stucky,Robert P. Stucky,1
rec3d5aE12ySM19YR,14906,1984,1984,Olli Van De Zuuthoeve,Olli Van De Zuuthoeve,Dana Narayanappa,Dana Narayanappa,Natalie Johnson Russell,Natalie Johnson Russell,1
rec3wby7DWIiWanEq,14906,1879,1879,Salute To You,Salute To You,Clara Vidal,Clara Vidal,Daniela Roy,Daniela Roy,1
rec3wfvjfMjQ9sCII,14906,1249,1249,Colombiana,Colombiana,Erica Robson,Erica,Erica Robson,Erica Robson,1
rec3zr0DE8MzOsdpK,14906,1221,1221,Kobalt Des Vk,Kobalt Des Vk,Megan Wexler,Megan,Megan Wexler,Megan Wexler,1
rec3zyMPoFyldLxW3,14906,107,107,Conthalando Ps,Conthalando Ps,Manuel G. Torres,Manuel,Manuel G. Torres,Manuel G. Torres,1
rec43Xr9hCD3oLh2g,14906,2926,2926,Clever,Clever,Jake Evans,Jake Evans,Jake Evans,Jake Evans,1
rec45GpYeI1KYllF5,14906,1027,1027,Fort Knox,Knox,Lainey Posa,Lainey,Alan Korotkin,CWF,1
rec4BWUfDhA6ovO4X,14906,2664,2664,Callisto,Callisto,Angela Gais,Angela,Angela Gais,Angela Gais,1
rec4HtfJmwxwrcJYO,14906,1428,1428,Insightful,Insightful,Lanie Nash,Lanie,Dawn Hersey,Dawn Hersey,1
rec4ITFSuRzNz24pL,14906,2934,2934,Jalanne,Jalanne,Jelmer Hoekstra,Jelmer,Jelmer Hoekstra,Jelmer Hoekstra,1
rec4V1tpPt3wiEnbN,14906,2137,2137,Falling Moon Front Page,Falling Moon Front Page,Kennedy Kluber,Kennedy Kluber,Terrie E. Shibley,Terrie E. Shibley,1
rec4X25T8c5jnS9aX,14906,1666,1666,F.ellouette,F.ellouette,Sebastian Presa Tejada,Sebastian,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,1
rec4aCCXiT3ZzSW5s,14906,2170,2170,Greigiau Spring Johnson,Greigiau Spring Johnson,Ella Sasso,Ella Sasso,Juliann W. Cunningham,Juliann W. Cunningham,1
rec4dXlqCDnn7yZkr,14906,1459,1459,Voyageur,Voyageur,Marie Lawlor,Marie Lawlor,Wendy J. Hechler,Wendy J. Hechler,1
rec4g5rjcJW2YzDAg,14906,1106,1106,Naomi Hpf,Naomi Hpf,Hector Florentino,Hector,Benjamin J. Meredith,Benjamin J. Meredith,1
rec4pOaYgAZalZMzo,14906,1341,1341,Modena Lc,Modena Lc,Juan J. Bancalari,Juan,Juan J. Bancalari,Juan J. Bancalari,1
rec4qUOGVJAGUZqnw,14906,143,143,Pmf Inventiv,Pmf Inventiv,Angela Swanson,Angela,Angela Swanson,Angela Swanson,1
rec4xJM8MrD8yzusL,14906,1488,1488,Crown,Crown,Katherine Addington,Katherine Addington,Bibby F. Hill,Bibby F. Hill,1
rec50DCvX5MF21Jf5,14906,1241,1241,Balou Blue Z,Balou Blue Z,Brittni A. Raflowitz,Brittni,Brittni A. Raflowitz,Brittni A. Raflowitz,1
rec514OUjwldYovtn,14906,1768,1768,Mistigrise Du Seigneur,Mistigrise Du Seigneur,Robert Mendoza,Robert,Robert Mendoza,Robert Mendoza,1
rec54726T3NJ6SoIz,14906,1785,1785,Vdl Adancha Z,Vdl Adancha Z,Stella Stinnett,Stella Stinnett,Thea N. Stinnett,Thea N. Stinnett,1
rec5BCZ11djG4ijhg,14906,2796,2796,Santa Rosa Fiona,Santa Rosa Fiona,Priscilla Broger,Priscilla,Priscilla Broger,Priscilla Broger,1
rec5HRwfgu8Db9W27,14906,1108,1108,Cali Blue Ps,Cali Blue Ps,Jessica Cross,Jessica,Jessica Cross,Jessica Cross,1
rec5OBdFACbnwaG76,14906,2966,2966,Beast Mode,Beast Mode,Addison Benio,Addison Benio,Addison Benio,Addison Benio,1
rec5SupXeyjWTgAbz,14906,2732,2732,Leroy Brown,Leroy Brown,Amanda Majewski,Amanda Majewski,Terrie E. Shibley,Terrie E. Shibley,1
rec5U7pN8TJHOvcg6,14906,2029,2029,Cobalto,Cobalto,Anne L. Bingler,Anne,Anne L. Bingler,Anne L. Bingler,1
rec5WKbSvvNAIspHS,14906,2132,2132,Goliath,Goliath,Addison Reed,Addison,Addison Reed,Addison Reed,1
rec5WQl0Uwyt03T0k,14906,1098,1098,Royal Mark,Royal Mark,Isaac Leffkowitz,Isaac,Isaac Leffkowitz,Isaac Leffkowitz,1
rec5pQtQGSG9uVcTL,14906,2930,2930,Miracle Van De Beiaard Z,Miracle Van De Beiaard Z,Declan Egan,Declan,Declan Egan,Declan Egan,1
rec5pU13zfWM743CN,14906,2292,2292,Icarus,Icarus,Declan Egan,Declan,Declan Egan,Declan Egan,1
rec5pmCjObhKYYuY4,14906,2197,2197,King William,King William,Sharn L. Wordley,Sharn,Sharn L. Wordley,Sharn L. Wordley,1
rec5ppXd3Vi3V3PUp,14906,1878,1878,Futur Du Pomiez,Futur Du Pomiez,Jelmer Hoekstra,Jelmer,Tara G. Bostwick,Tara G. Bostwick,1
rec5ygHvQHdrPqVbK,14906,2928,2928,Cypress,Cypress,Declan Egan,Declan Egan,Declan Egan,Declan Egan,1
rec5zBhR4G8UOqWRu,14906,1628,1628,Milas D,Milas D,Jennifer Strickland,Jennifer Strickland,Jennifer Strickland,Jennifer Strickland,1
rec6M1TTc7umBP1As,14906,1065,1065,Lord Cageman,Lord Cageman,Clara Vidal,Clara Vidal,Daniela Roy,Daniela Roy,1
rec6QjeebNQzoD5RS,14906,1791,1791,Kalahari Na,Kalahari Na,Katie Drummond,Katie Drummond,Jared P. Petersen,Jared P. Petersen,1
rec6ZGNosqNhhZYIP,14906,1064,1064,Locinthe Vdl,Locinthe Vdl,Clara Vidal,Clara,Daniela Roy,Daniela Roy,1
rec6b9get1DuDSNzS,14906,2612,2612,Marshall,Marshall,Timothy Maddrix,Timothy Maddrix,Timothy Maddrix,Timothy Maddrix,1
rec6hj42NmyzUpTvg,14906,2880,2880,Valentine Car,Valentine Car,Sharn L. Wordley,Sharn,Sharn L. Wordley,Sharn L. Wordley,1
rec6iwnGhNhMivPK5,14906,1062,1062,Kalibra S,Kalibra S,Clara Vidal,Clara Vidal,Daniela Roy,Daniela Roy,1
rec6qEkb6JtyJio2I,14906,2293,2293,Miss Cranny Sarco,Miss Cranny Sarco,Declan Egan,Declan,Declan Egan,Declan Egan,1
rec6u2HTz330ZyOm3,14906,1293,1293,Getthe Muny Bernie,Getthe Muny Bernie,Carrie Riddle,Carrie,Lindsay Barrack,Lindsay Barrack,1
rec6uUStMesh3znm5,14906,1907,1907,Wild Kat,Wild Kat,Jamie Alnwick,Jamie,Scott Keach,Scott Keach,1
rec6wNQ8qnyhIyKnM,14906,3037,3037,Malmo 54,Malmo 54,Tom Monaghan,Tom,Tom Monaghan,Tom Monaghan,1
rec74jz5MQsVEZGqt,14906,1826,1826,Emi Initia,Emi Initia,Sara Lent,Sara Lent,Lia Screnci,Lia Screnci,1
rec79GI4KSUnzcxKK,14906,1263,1263,Eliott Dz,Eliott Dz,Aaron Vale,Aaron,Ben Taylor,Ben Taylor,1
rec7BwCKMRQDMQgx2,14906,1662,1662,Miles Ahead,Miles Ahead,Katherine F. Dewar,Katherine F. Dewar,Kyle Dewar,Kyle Dewar,1
rec7HGhhxy0VcsvHr,14906,2945,2945,Koletta,Koletta,Stephanie Frey,Stephanie,Stephanie Frey,Stephanie Frey,1
rec7IRQCJhcQjYSyL,14906,158,158,Icare Chavannais,Icare Chavannais,Priscilla Broger,Priscilla,Priscilla Broger,Priscilla Broger,1
rec7Op9ou8Hbrpp8I,14906,2304,2304,Camden Street,Camden Street,Phillipa Greenberg,Phillipa,Wendy J. Hechler,Wendy J. Hechler,1
rec7X3x2xYM9fNfws,14906,1790,1790,Cataumet,Cataumet,Lauren Schweppe,Lauren,Lauren Schweppe,Lauren Schweppe,1
rec7Xhy1diC2mfn1j,14906,161,161,Jason Brown,Jason Brown,Flavio Montenegro,Flavio,Ben Taylor,Ben Taylor,1
rec7azKaPKmD2cx7o,14906,2712,2712,Il Vole Du Park,Il Vole Du Park,Juan E. Hidalgo,Juan,Juan E. Hidalgo,Juan E. Hidalgo,1
rec7enZTdsncgJQcM,14906,2094,2094,Gold Du Rouet,Gold Du Rouet,Taylor St Jacques,Taylor,Andrew C. Welles,Andrew C. Welles,1
rec7oPU2U47Im0jah,14906,1025,1025,Dodicci,Dottie,Tanner Korotkin,Tanner,Alan Korotkin,CWF,1
rec7pZYSTNNmPkyu6,14906,2561,2561,Indiscreet,Indiscreet,Spencer Brittan,Spencer Brittan,Spencer Brittan,Spencer Brittan,1
rec7vnyr2tVcM6JKv,14906,2361,2361,Casuall,Casuall,John Michael Durr,John,John Michael Durr,John Michael Durr,1
rec7xtG00LNziiwOy,14906,1936,1936,Sf Old Fashioned,Sf Old Fashioned,Jamie Reinheimer,Jamie Reinheimer,Jamie Reinheimer,Jamie Reinheimer,1
rec81sUUNYt18WiAO,14906,1864,1864,La India Catania,La India Catania,Celso Ariani,Celso Ariani,Celso Ariani,Celso Ariani,1
rec88WmrE0gSWXFHr,14906,2968,2968,Anthem L.a. Z,Anthem L.a. Z,Luciano Dome,Luciano,Luciano Dome,Luciano Dome,1
rec8BkNjJAu1oqLly,14906,2157,2157,Streya,Streya,Jacqueline Steffens Daly,Jacqueline,Jacqueline Steffens Daly,Jacqueline Steffens Daly,1
rec8LsoJURKHZ44D2,14906,1843,1843,Accelerator,Accelerator,Fabian Herrera,Fabian,Fabian Herrera,Fabian Herrera,1
rec8P7VE4xrhSr8iw,14906,2867,2867,Chef Special,Chef Special,Tracy Fenney,Tracy,Michael J. Mccormick,Michael J. Mccormick,1
rec8PR9MnLxkUXfAc,14906,1037,1037,Insider Bh,Insider,Victoria Rotsaert,Victoria,Alan Korotkin,CWF,1
rec8UGAUAUJ780m3N,14906,1947,1947,Playboy Blue Vh Z,Playboy Blue Vh Z,Riley Delbecq,Riley Delbecq,Casey M. Millis,Casey M. Millis,1
rec8bEkXQ121XUPro,14906,1823,1823,Aperture Vf,Aperture Vf,Lia Screnci,Lia,Lia Screnci,Lia Screnci,1
rec8dMmNDSdG203Mw,14906,2188,2188,Excel Star Herald,Excel Star Herald,Danielle Platt,Danielle Platt,Danielle Platt,Danielle Platt,1
rec8djTKCR8X4DavJ,14906,2667,2667,Calypso,Calypso,Josephine Demmo,Josephine,Alan Korotkin,CWF,1
rec8nbieTHlNYfAzC,14906,2534,2534,Callisto De Fetan Z,Callisto De Fetan Z,Robert Mendoza,Robert,Robert Mendoza,Robert Mendoza,1
rec8qHQrDItvdlQoL,14906,1028,1028,Forte,Forte,Carsyn Korotkin,Carsyn Korotkin,Alan Korotkin,Alan Korotkin,1
rec8sI9fvIMgzRWtl,14906,3005,3005,Kilmastulla Quality Touch,Kilmastulla Quality Touch,Seanna Reser,Seanna,Stacey L. Reser,Stacey L. Reser,1
rec93QEULmoP9lVQ5,14906,3014,3014,Hazelberg's Opium Dve,Hazelberg's Opium Dve,,,,,1
rec97QFWtimduyHuB,14906,1283,1283,Calais,Calais,Kole Floyd,Kole Floyd,Katie Moniz Floyd,Katie Moniz Floyd,1
rec9GEPDxYugGa9EC,14906,1261,1261,Com'on Kylie M,Com'on Kylie M,Sophia Ayers,Sophia,Ben Taylor,Ben Taylor,1
rec9HeW9WlmtzBC08,14906,2368,2368,Cheque,Cheque,Jake Evans,Jake,Jake Evans,Jake Evans,1
rec9JEZc89Tnnz4bF,14906,2604,2604,Hand Painted,Hand Painted,Jasmine Walsh,Jasmine,Jasmine Walsh,Jasmine Walsh,1
rec9JhcjVE6MzwKwQ,14906,2367,2367,Khadiri,Khadiri,Jake Evans,Jake,Jake Evans,Jake Evans,1
rec9N1Ti4a8Q38uHS,14906,2618,2618,Quina Blue Ps,Quina Blue Ps,Timothy Maddrix,Timothy,Timothy Maddrix,Timothy Maddrix,1
rec9OpY0lz1fUBcMR,14906,2876,2876,Ewsz Omega,Ewsz Omega,Gonzalo Guevara,Gonzalo,Gonzalo Guevara,Gonzalo Guevara,1
rec9YY2VQtUbQheE9,14906,2927,2927,Dexter,Dexter,Jake Evans,Jake,Jake Evans,Jake Evans,1
rec9d2oNX6g2NauFw,14906,1041,1041,Luminosity Class,Elliot,Tanner Korotkin,Tanner,Alan Korotkin,CWF,1
rec9eOiAQ8imcv9Oj,14906,104,104,Helia Ffh,Helia Ffh,Kyle Dewar,Kyle,Kyle Dewar,Kyle Dewar,1
rec9f7ogvI5AiZGXT,14906,1046,1046,Rimini Du Printemps,Rimini Du Printemps,Tanner Korotkin,Tanner Korotkin,Alan Korotkin,Alan Korotkin,1
rec9frvWzFMf9c8Kj,14906,1319,1319,High Time,High Time,Anne C. Hormel,Anne,Camille Maynard,Camille Maynard,1
rec9g3cCnYaJqzg5B,14906,2543,2543,Billy Snowdonia,Billy Snowdonia,Camille Maynard,Camille,Camille Maynard,Camille Maynard,1
rec9nDSYoFWGwzGAh,14906,2303,2303,Nielson Wh,Nielson Wh,Margaret L. Swanson,Margaret L. Swanson,Mike Holtkamp,Mike Holtkamp,1
rec9rHx6aDDm4lD8r,14906,1096,1096,Cold Play,Cold Play,Isaac Leffkowitz,Isaac,Isaac Leffkowitz,Isaac Leffkowitz,1
recA6Nqh637ic9n2z,14906,2037,2037,Fernhill Touch Of Grandeur,Fernhill Touch Of Grandeur,Kendall Stephens,Kendall,Maya Denis,Maya Denis,1
recA9WN5yyh58eP0i,14906,2365,2365,Qiana,Qiana,Marcus Gruenthal,Marcus,Marcus Gruenthal,Marcus Gruenthal,1
recAAbnrLYYBRf9jM,14906,2943,2943,Gladrags,Gladrags,Stephanie Frey,Stephanie,Stephanie Frey,Stephanie Frey,1
recAEIaYalYre2llI,14906,2709,2709,Cfh Ricardo Two You,Cfh Ricardo Two You,Juan E. Hidalgo,Juan,Juan E. Hidalgo,Juan E. Hidalgo,1
recAGLH2rzPGwpBsz,14906,3022,3022,Netezwiggy Vd Watermolen,Netezwiggy Vd Watermolen,Dorothy Douglas,Dorothy,Jelmer Hoekstra,Jelmer Hoekstra,1
recARRtM6on1LSMRP,14906,2994,2994,Stapleton Asha,Stapleton Asha,Lilly Mack,Lilly,Dennis Mitchell,Dennis Mitchell,1
recAUNBS3GXlJCmZj,14906,1430,1430,Karlotta Cl,Karlotta Cl,Alejandra Ortiz Orozco,Alejandra Ortiz Orozco,Manuel G. Torres,Manuel G. Torres,1
recAZNrHFA3dH55Rq,14906,1795,1795,Mazatlan Ps,Mazatlan Ps,Violetta Bergonzoli,Violetta,Morgan Taylor,Morgan Taylor,1
recAaq5pWLL9bFKdl,14906,1439,1439,Il Dolce,Il Dolce,Lauren Flesher,Lauren,Matthew Le Master,Matthew Le Master,1
recAh6G3L98CK7aqL,14906,1728,1728,Simpatico,Simpatico,Stephanie Frey,Stephanie,Stephanie Frey,Stephanie Frey,1
recAj54jGkp8UD0u9,14906,2797,2797,Jolita,Jolita,Rob Billings,Rob Billings,Rob Billings,Rob Billings,1
recAlA8aDSqItWKLd,14906,1918,1918,The Flying Dutchman,The Flying Dutchman,Bryce P. Richardson,Bryce,Bryce P. Richardson,Bryce P. Richardson,1
recAqDdmBqy3B5hH6,14906,1567,1567,Octavius Scf,Octavius Scf,Antonio J. Martinez,Antonio,Antonio J. Martinez,Antonio J. Martinez,1
recBPLymAty28jZIq,14906,1572,1572,Unica Z,Unica Z,Antonio J. Martinez,Antonio J. Martinez,Antonio J. Martinez,Antonio J. Martinez,1
recBc8B5JwLXimn9V,14906,3003,3003,Leporsche Th,Leporsche Th,Ella Saidi,Ella Saidi,Raishun Burch,Raishun Burch,1
recBfBZQnclsaJ7hC,14906,1048,1048,Specialist,Specialist,Kate Marisch,Kate Marisch,Alan Korotkin,Alan Korotkin,1
recBrlPfyzwPNCO75,14906,125,125,Conthinder,Conthinder,Sophia Ayers,Sophia,Ben Taylor,Ben Taylor,1
recBsU2Jj6yCwEiMr,14906,1052,1052,Captain Morgan,Captain Morgan,Gabriel Zampieri,Gabriel Zampieri,Daniela Roy,Daniela Roy,1
recCB9HyG6Q3UySnn,14906,2963,2963,Diadora,Diadora,Jordan Petersen,Jordan,Jared P. Petersen,Jared P. Petersen,1
recCBxxMJ1CtUSSZR,14906,2735,2735,Newcomer Z,Newcomer Z,Xavier 5. Gomez,Xavier 5. Gomez,Dana Kurrle,Dana Kurrle,1
recCGHfmjgSEuux59,14906,2984,2984,Vdl Escape Z,Vdl Escape Z,Savannah Groselle,Savannah,Savannah Groselle,Savannah Groselle,1
recCHDzOJSCmcfF8D,14906,1047,1047,Sandenal,Snoop,Tanner Korotkin,Tanner,Alan Korotkin,CWF,1
recCK9Bbw2Ctvpst0,14906,1347,1347,Oscars Afterparty,Oscars Afterparty,Cullen Drescher,Cullen,Derek Reed,Derek Reed,1
recCKsDYIvnhxHHYi,14906,114,114,Mestizo Ls,Mestizo Ls,Lukene Arenas,Lukene,Lukene Arenas,Lukene Arenas,1
recCPYDQqze5U10UO,14906,1456,1456,Best Kept Secret,Best Kept Secret,Audrey Price,Audrey Price,Wendy J. Hechler,Wendy J. Hechler,1
recCWibIx9ZSSHJwS,14906,1555,1555,Katch Can-Do,Katch Can-Do,Olivia Israel,Olivia,Jenny Miller,Jenny Miller,1
recCWzEeFLRL2YGDr,14906,1563,1563,Herlich,Herlich,Bowers A. Cone,Bowers,Stephen Dicarlo,Stephen Dicarlo,1
recCXnGJSdTBJQL6t,14906,1300,1300,Helium De La Virée Au Vent,Helium De La Virée Au Vent,Emma J Lopez,Emma J Lopez,Daniela Roy,Daniela Roy,1
recCcWOumf0LuMidU,14906,2882,2882,Crush,Crush,Scott Diffey,Scott,Scott Diffey,Scott Diffey,1
recCke5DtPAUI7Pty,14906,1708,1708,Glamour Van De Kakebeek,Glamour Van De Kakebeek,Annalise Kapsokavathis,Annalise Kapsokavathis,Anne L. Bingler,Anne L. Bingler,1
recCnnePf7K82RFVC,14906,2974,2974,St. Nick,St. Nick,Kalli Core,Kalli,Bobby Boulger,Bobby Boulger,1
recCq52WuubpC3gZ0,14906,2802,2802,Conchita Blue Ps,Conchita Blue Ps,Jasmine Walsh,Jasmine Walsh,Jasmine Walsh,Jasmine Walsh,1
recCsSwjsbcad6kVC,14906,2120,2120,Freeman,Freeman,Caroline Willard Briles,Caroline,Caroline Willard Briles,Caroline Willard Briles,1
recDg97u6E8ueRkPR,14906,1508,1508,Guerrera,Guerrera,Dakota Sheikh,Dakota,Mario Garcia,Mario Garcia,1
recDwDMZvyoaSoh3B,14906,1278,1278,Remus Van't Merelsnest,Remus Van't Merelsnest,Sophia Ayers,Sophia,Ben Taylor,Ben Taylor,1
recDwpje2NX8oFmje,14906,1448,1448,Cattrepel,Cattrepel,Elle Bassion,Elle Bassion,Taylor St Jacques,Taylor St Jacques,1
recDzMHWC9M9N2YQB,14906,2631,2631,Zhardas Kil,Zhardas Kil,Ashlynn Meuchel,Ashlynn,Ashlynn Meuchel,Ashlynn Meuchel,1
recE1MaNADKY9B2V1,14906,131,131,Mtm Pablo,Mtm Pablo,Tracy Fenney,Tracy,Michael J. Mccormick,Michael J. Mccormick,1
recE3kUkNcZeNsPCh,14906,2089,2089,Under The Sea,Under The Sea,Anslee Bell,Anslee Bell,Madison Daughdrill,Madison Daughdrill,1
recE62RogZyu0j9w7,14906,1582,1582,Harmony De Muze,Harmony De Muze,Jake Evans,Jake,Jake Evans,Jake Evans,1
recE6rTI9nxl3ddcz,14906,1285,1285,Rock Bottom,Rock Bottom,Farrah Whiddon,Farrah Whiddon,Katie Moniz Floyd,Katie Moniz Floyd,1
recEDxqpF2gZV7nU1,14906,1323,1323,Uncle John’s Band,Uncle John’s Band,Camille Maynard,Camille,Camille Maynard,Camille Maynard,1
