record_id,show_no,entry_no,entry_display,horse,horse_display,rider,rider_display,trainer,trainer_display,active
rec01fcLz3gBaOuCk,14906,2961,2961,Evolene De Carles,Evolene De Carles,Vicente Guillen,Vicente,Vicente Guillen,Vicente Guillen,1
rec04G5QautLKroO5,14906,2535,2535,Lucky Lakota,Lucky Lakota,Audrey Price,Audrey Price,Wendy J. Hechler,Wendy J. Hechler,1
rec04dA4WFyLCjXNw,14906,1675,1675,L.v. Valdrumer,L.v. Valdrumer,Nicole Presa Tejada,Nicole Presa Tejada,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,1
rec05KksmIMbP4zEb,14906,3099,3099,Cartoon Sd Z,Cartoon Sd Z,Tanner Korotkin,Tanner Korotkin,Alan Korotkin,Alan Korotkin,1
rec07FCmE0osOA0Z0,14906,2128,2128,Changes In Latitude,Changes In Latitude,Clara Sipple,Clara Sipple,Maisie Wagner,Maisie Wagner,1
rec07T9tJS4DHWlU0,14906,1466,1466,Odaya,Odaya,Anna Mazor-Allhusen,Anna Mazor-Allhusen,Mario Garcia,Mario Garcia,1
rec08Bcdiirsd0shr,14906,1075,1075,Chris B,Chris B,Hector Florentino,Hector,Benjamin J. Meredith,Benjamin J. Meredith,1
rec0MpaYnNju2ExM0,14906,1457,1457,Kamilla,Kamilla,Olivia Planer,Olivia Planer,Wendy J. Hechler,Wendy J. Hechler,1
rec0NSJSySU5lKsqL,14906,2964,2964,Chillas Z,Chillas Z,Tanner Korotkin,Tanner Korotkin,Brooklyn Castellano,Brooklyn Castellano,1
rec0OvFLXfoZKvs15,14906,1251,1251,Spice Girl,Spice Girl,Bernadette Sobrino,Bernadette Sobrino,Erica Robson,Erica Robson,1
rec0oUzAUaAoWaLAO,14906,1247,1247,Captain Marvel CF,Captain Marvel CF,Erica Robson,Erica,Erica Robson,Erica Robson,1
rec0on3YwJxmy4UfE,14906,2803,2803,Kanai,Kanai,Addison Reed,Addison,Addison Reed,Addison Reed,1
rec0sEBbL6j23F5Gs,14906,154,154,Hagelin,Hagelin,Sharn L. Wordley,Sharn,Sharn L. Wordley,Sharn L. Wordley,1
rec0toyPx9achffXl,14906,2727,2727,Global Ph Cocofino,Global Ph Cocofino,Tyla Hackett,Tyla Hackett,David Cameron,David Cameron,1
rec0v0WJGnoB5pLrQ,14906,2874,2874,Dropshot Z,Dropshot Z,Jordan Petersen,Jordan,Jared P. Petersen,Jared P. Petersen,1
rec15E164n3x0AA8E,14906,1051,1051,Cajou Mm,Cajou Mm,Clara Vidal,Clara Vidal,Daniela Roy,Daniela Roy,1
rec1K7ICEFCibF2DT,14906,1589,1589,Kali,Kali,Mireya Godoy,Mireya,Juan M. Bolanos,Juan M. Bolanos,1
rec1RAmQjCfnJ2wyW,14906,2827,2827,Lord Carlino,Lord Carlino,Alexandra Hird,Alexandra Hird,August Torsilieri,August Torsilieri,1
rec1e77tZXkuTZTKx,14906,1525,1525,Checkmate,Checkmate,Jake Evans,Jake Evans,Jake Evans,Jake Evans,1
rec1eLaySOTVGfZvf,14906,1882,1882,Kara J D'alve Z,Kara J D'alve Z,Alexandria Beneson,Alexandria,Thea N. Stinnett,Thea N. Stinnett,1
rec1h9tikxncztApt,14906,1767,1767,Gotham De Chalusse,Gotham De Chalusse,Robert Mendoza,Robert,Robert Mendoza,Robert Mendoza,1
rec1jsiwNJbaqTry3,14906,2190,2190,Kennedy,Kennedy,Izabella Zourdos,Izabella Zourdos,Kathryn Delaney,Kathryn Delaney,1
rec1kzOSCYINSWMgd,14906,2385,2385,Casa Quo Vadis,Casa Quo Vadis,Grace Harrison,Grace Harrison,Lisa Hasenbeck,Lisa Hasenbeck,1
rec1oM5ee7kSk9If7,14906,1088,1088,Titan,Titan,Mckenzie Miller,Mckenzie,Conan Conway,Conan Conway,1
rec1v4wlYLNcNIVGe,14906,1441,1441,Princeton Mk,Princeton Mk,Matthew Le Master,Matthew,Matthew Le Master,Matthew Le Master,1
rec1zG5BsIopNkvgJ,14906,1679,1679,Tarzan Z,Tarzan Z,Ana Cristina Rodriguez,Ana,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,1
rec20ehq3ynW6QPW7,14906,2541,2541,Fireball,Fireball,Mario Garcia,Mario Garcia,Mario Garcia,Mario Garcia,1
rec26JITyiE4sJMw9,14906,2348,2348,Cupido De Jolie Z,Cupido De Jolie Z,Katlynn Butler,Katlynn,Katlynn Butler,Katlynn Butler,1
rec26u95qyoi4Zpdx,14906,2573,2573,Ballyforan,Ballyforan,Patrick R. Wilcher,Patrick,Patrick R. Wilcher,Patrick R. Wilcher,1
rec2C8xe0wSoPWTi8,14906,1092,1092,Over Ruled,Over Ruled,Isabella Keyman,Isabella Keyman,Alison Jones,Alison Jones,1
rec2LVSvJYCzH6ntu,14906,1021,1021,Rover,Rover,Kelly Prather,Kelly,Michael K. Kennedy,Michael K. Kennedy,1
rec2QkcnyX1waK5ev,14906,1591,1591,Irish Coffee Vhl,Coffee,Iliana Palumbo,Iliana,Alan Korotkin,CWF,1
rec2SnUDTF5XK7afR,14906,2294,2294,Onetta Vd Fruitkorf Z,Onetta Vd Fruitkorf Z,Declan Egan,Declan,Declan Egan,Declan Egan,1
rec2alpWgee7dQAmr,14906,2393,2393,United's Choice,United's Choice,Dana Ventrice,Dana,Dana Ventrice,Dana Ventrice,1
rec2baIfOEJG63TMM,14906,2720,2720,Espresso,Espresso,Molly Frei,Molly,Sven Frei,Sven Frei,1
rec2c2MFlF74J1ChD,14906,1072,1072,Volodia D'argouges,Volodia D'argouges,Clara Vidal,Clara Vidal,Daniela Roy,Daniela Roy,1
rec2cDkWFGecuTXv5,14906,1933,1933,Caligua,Caligua,Jamie Reinheimer,Jamie Reinheimer,Jamie Reinheimer,Jamie Reinheimer,1
rec2hsK2SEMEvJsQF,14906,3039,3039,Billy Adorable,Billy Adorable,Sophie Smith,Sophie,Morgan Taylor,Morgan Taylor,1
rec2ycsr5WvP5uEld,14906,1101,1101,Quido,Quido,Reya Popat,Reya Popat,Morgan Taylor,Morgan Taylor,1
rec32qsqLuGDJ9aQ7,14906,1766,1766,Diatendra,Diatendra,Robert Mendoza,Robert,Robert Mendoza,Robert Mendoza,1
rec36l8EG5RpAgroN,14906,1109,1109,Odilon,Odilon,Soleil Katsur,Soleil,Jessica Cross,Jessica Cross,1
rec3Ajj0at5slKfYA,14906,2736,2736,Olimpink Melloni,Olimpink Melloni,Timothy Maddrix,Timothy,Timothy Maddrix,Timothy Maddrix,1
