class_no,ring_no,ring_day_no,ring_name,time_text,event_name,entry_count,lock,shows,classes,ring_days,rings,show_days,events,focus_show,record_id
29909,688,3942,INDOOR 1,9:00 am,23) $600 Green Hunter 3'6,3,true,recYzHH8l3BfSw93e,recUPfwSFg8Zp50WW,receHgC0WW7ikFhx7,recs89ouqGsLmJXfj,reclDCSjqeQ3CLDeV,recCpoLbSgdxAkGYw,recLh1GS3VPfTe1z2,rec2BzDNSg4WDQHgz
29913,688,3942,INDOOR 1,9:30 am,27) $200 Green Hunter 3'6,3,true,recYzHH8l3BfSw93e,recSxp0DCZwQxPmp7,receHgC0WW7ikFhx7,recs89ouqGsLmJXfj,reclDCSjqeQ3CLDeV,recKu8SZCXDULtBSa,recLh1GS3VPfTe1z2,recBX9xbONzyDrolx
29878,689,3948,INDOOR 2,1:15 pm,274) USHJA Hunter 2'9,8,true,recYzHH8l3BfSw93e,recYHHJ0QHspzDp7O,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,reciiQO8Z5vzReDi5,recLh1GS3VPfTe1z2,recjZI0rhly5sHxcT
29924,689,3948,INDOOR 2,11:45 am,37) $200 Green Hunter 3'0,14,true,recYzHH8l3BfSw93e,rec7hR6OgFfdqJcp9,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,recODTrbmoQz5utO0,recLh1GS3VPfTe1z2,reczcmooFTMVEtyx8
29881,689,3948,INDOOR 2,12:15 pm,271) USHJA Hunter 2'9,7,true,recYzHH8l3BfSw93e,rec1S51NC12JPiHYE,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,recDqPLN0uknBJOut,recLh1GS3VPfTe1z2,recI3RpiCRDuYHCWz
29930,689,3948,INDOOR 2,2:00 pm,48) $350 Young Hunter 2'9,7,true,recYzHH8l3BfSw93e,recc2Q7U192WG3Wz5,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,recypQVPgLReXg7og,recLh1GS3VPfTe1z2,recO0syHYNAZKGykW
29934,689,3948,INDOOR 2,2:45 pm,52) $150 Young Hunter 2'9,7,true,recYzHH8l3BfSw93e,recxQxnQqkoCgSMdn,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,rec1SRJ39GKJITquF,recLh1GS3VPfTe1z2,rec3ZDEoJUW4HN32r
29936,689,3948,INDOOR 2,3:00 pm,54) $350 Young Hunter 3',6,true,recYzHH8l3BfSw93e,recQwudhKZUCbt6aA,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,recEwHidqvsr0TbQs,recLh1GS3VPfTe1z2,recbMVcMhnEPoI63z
29939,689,3948,INDOOR 2,3:30 pm,57) $150 Young Hunter 3' U/S,6,true,recYzHH8l3BfSw93e,recjS7iP9xYTz8znQ,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,recjTiFbudS2JW4Pr,recLh1GS3VPfTe1z2,recXkcWM45qeAOL6h
29941,689,3948,INDOOR 2,3:45 pm,59) $350 Young Hunter 3'3,4,true,recYzHH8l3BfSw93e,recn6UXqW50lKZjP8,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,recXleA5Vd1UWSuWZ,recLh1GS3VPfTe1z2,rec0IXlin151hIPEp
29684,689,3948,INDOOR 2,8:00 am,275) USHJA Hunter 3',19,true,recYzHH8l3BfSw93e,rec0W5uZJmzIsZmiD,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,rec3DNMrUjc0Qt6x1,recLh1GS3VPfTe1z2,recnxcUtLZ3Rb50u9
29920,689,3948,INDOOR 2,8:00 am,34) $350 Green Hunter 3'0,13,true,recYzHH8l3BfSw93e,recU5qKkhL3yRCilZ,reci75cOdjPTTp62w,reciXxIicTUg0rqJb,reclDCSjqeQ3CLDeV,recJRfkU48qqomzGm,recLh1GS3VPfTe1z2,rechE6ahuk2jjboIl
29683,691,3960,INDOOR 4,1:00 pm,269) USHJA Hunter 2'6,18,true,recYzHH8l3BfSw93e,recmPY3RDveUU9wqL,recpM8qf9qp09BUKZ,rec49a6FWHtrmZs4k,reclDCSjqeQ3CLDeV,rectsAC8P3KuxGPp2,recLh1GS3VPfTe1z2,rec23tvCOEUoKRv8l
29674,691,3960,INDOOR 4,1:45 pm,260) USHJA Hunter 2'3,14,true,recYzHH8l3BfSw93e,recWot11uIPWdNeUZ,recpM8qf9qp09BUKZ,rec49a6FWHtrmZs4k,reclDCSjqeQ3CLDeV,recltNKlvARi3j0wG,recLh1GS3VPfTe1z2,recRGEMY5hanFFY49
29665,691,3960,INDOOR 4,8:00 am,281) Baby Green Hunter 2'6',9,true,recYzHH8l3BfSw93e,recAYWdCuq6xvZWwf,recpM8qf9qp09BUKZ,rec49a6FWHtrmZs4k,reclDCSjqeQ3CLDeV,recqVlhIKj9jGmn07,recLh1GS3VPfTe1z2,rec6EfOywfR4xwCc2
29679,691,3960,INDOOR 4,8:00 am,265) USHJA Hunter 2'6,42,true,recYzHH8l3BfSw93e,rec3AJKFZBFYZmShK,recpM8qf9qp09BUKZ,rec49a6FWHtrmZs4k,reclDCSjqeQ3CLDeV,recObDQTaUfpYB8Fc,recLh1GS3VPfTe1z2,recXIA3AMnmQ2u8cb
33349,742,4232,STADIUM,3:00 pm,337) WEC Hunter 3' US,15,true,recYzHH8l3BfSw93e,recGIzVXXTVlQ9Mgd,rec3OBitqsaENELLc,rec80qovSB0UvOZep,reclDCSjqeQ3CLDeV,recBftQQ2Hk9NsChA,recLh1GS3VPfTe1z2,recgNDJfzi57Owmno
33348,742,4232,STADIUM,7:30 am,336) WEC Hunter 3',65,true,recYzHH8l3BfSw93e,rec0R7TihIKFkgFuI,rec3OBitqsaENELLc,rec80qovSB0UvOZep,reclDCSjqeQ3CLDeV,recza242wkuaZyXw2,recLh1GS3VPfTe1z2,rec7OR4MTmy0UlsVD
