record_id,class_start_key,show_no,focus_day,ring_no,ring_day_no,class_no,display_time,class_start_time,class_number,class_name,entry_count,status,source,update_schedule_staging,class_oog
recK1zHm5zMA8XGyj,14907|3948|689|61076|29881,14907,2026-06-17,689,3948,29881,12:15P,12:15:00,271,USHJA Hunter 2'9,7,upcoming,update_schedule_staging.full_lock,recI3RpiCRDuYHCWz,
recqNpDn64fNIm2cV,14907|3948|689|61057|29930,14907,2026-06-17,689,3948,29930,2:00P,14:00:00,48,$350 Young Hunter 2'9,7,upcoming,update_schedule_staging.full_lock,recO0syHYNAZKGykW,
recZ8uhkfAtDf8auw,14907|3948|689|61059|29934,14907,2026-06-17,689,3948,29934,2:45P,14:45:00,52,$150 Young Hunter 2'9,7,upcoming,update_schedule_staging.full_lock,rec3ZDEoJUW4HN32r,
recchPzOZMK0K0Fh7,14907|3948|689|61061|29936,14907,2026-06-17,689,3948,29936,3:00P,15:00:00,54,$350 Young Hunter 3',6,upcoming,update_schedule_staging.full_lock,recbMVcMhnEPoI63z,
recefq0YdQy3huRFY,14907|3948|689|61062|29939,14907,2026-06-17,689,3948,29939,3:30P,15:30:00,57,$150 Young Hunter 3' U/S,6,upcoming,update_schedule_staging.full_lock,recXkcWM45qeAOL6h,
recAb5VnuaJuXYMVU,14907|3948|689|61064|29941,14907,2026-06-17,689,3948,29941,3:45P,15:45:00,59,$350 Young Hunter 3'3,4,upcoming,update_schedule_staging.full_lock,rec0IXlin151hIPEp,
recYvfwmHysdd5v8m,14907|3948|689|57637|29684,14907,2026-06-17,689,3948,29684,8:00A,08:00:00,275,USHJA Hunter 3',19,upcoming,update_schedule_staging.full_lock,recnxcUtLZ3Rb50u9,
recDzMaWN5g9rYtC1,14907|3948|689|61052|29920,14907,2026-06-17,689,3948,29920,8:00A,08:00:00,34,$350 Green Hunter 3'0,13,upcoming,update_schedule_staging.full_lock,rechE6ahuk2jjboIl,
rec8C13RVUNpQommf,14907|3960|691|61145|29683,14907,2026-06-17,691,3960,29683,1:00P,13:00:00,269,USHJA Hunter 2'6,18,upcoming,update_schedule_staging.full_lock,rec23tvCOEUoKRv8l,
recz45gfw5v6yc70h,14907|3960|691|61148|29674,14907,2026-06-17,691,3960,29674,1:45P,13:45:00,260,USHJA Hunter 2'3,14,upcoming,update_schedule_staging.full_lock,recRGEMY5hanFFY49,
rec1fmiBqgRPFYh6R,14907|3960|691|61147|29665,14907,2026-06-17,691,3960,29665,8:00A,08:00:00,281,Baby Green Hunter 2'6',9,upcoming,update_schedule_staging.full_lock,rec6EfOywfR4xwCc2,
reczqPlzbtTfrL567,14907|3960|691|57661|29679,14907,2026-06-17,691,3960,29679,8:00A,08:00:00,265,USHJA Hunter 2'6,42,upcoming,update_schedule_staging.full_lock,recXIA3AMnmQ2u8cb,
recUJVTLKlQ5VXvzi,14907|4232|742|61251|33349,14907,2026-06-17,742,4232,33349,3:00P,15:00:00,337,WEC Hunter 3' US,15,upcoming,update_schedule_staging.full_lock,recgNDJfzi57Owmno,
rec1QO83OvghMchxN,14907|4232|742|61250|33348,14907,2026-06-17,742,4232,33348,7:30A,07:30:00,336,WEC Hunter 3',65,upcoming,update_schedule_staging.full_lock,rec7OR4MTmy0UlsVD,recFtq0YR5RqxuhTT; recIMRgrABNRlSpY8; recRKkdzg8HuuYPln; reckfPFMP2GLv639f
