class_no,ring_no,ring_day_no,ring_name,time_text,event_name,entry_count,record_id
29855,686,3936,WEC GRAND ARENA,8:00 am,"3301) $5,000 Coca-Cola1.40m CSI3* Two Phase 222.1.4.3",23,reclgesbCICZN2r58
29679,691,3960,INDOOR 4,8:00 am,265) USHJA Hunter 2'6,42,recmLrtQI6lUihVRH
29919,689,3948,INDOOR 2,8:00 am,33) $350 Green Hunter 3'0,13,reco4QUmY5s4eTm5G
0,687,4219,INDOOR 6,,Midway Drag,0,recphCj7Fj20xamrQ
29915,688,3942,INDOOR 1,11:00 am,29) $350 Green Hunter 3'3,2,recqS0Fqn55o8HeLd
29944,689,3948,INDOOR 2,,62) $150 Young Hunter 3'3,4,recrBLVlvvQNb3RBr
29913,688,3942,INDOOR 1,9:30 am,27) $200 Green Hunter 3'6,3,recsSEKvbFLKiem7S
0,691,3960,INDOOR 4,,Midway Drag,0,recseK6c8u1TAOZky
29909,688,3942,INDOOR 1,9:00 am,23) $600 Green Hunter 3'6,3,rectHOkdTMqA9fU8G
29664,691,3960,INDOOR 4,8:00 am,280) Baby Green Hunter 2'6,9,rectRfL32HAxvySjO
29680,691,3960,INDOOR 4,8:00 am,266) USHJA Hunter 2'6,40,rectrbJZhU37PVwoK
0,685,4224,INDOOR 5,,Ring Maintenance,0,recvBHsPfoxVJOajd
29559,686,3936,WEC GRAND ARENA,9:45 am,"3302) $32,000 Coca-Cola  1.45m CSI3* Speed 220.2.1.1",26,recveQC5XacKbhygt
29776,685,4224,INDOOR 5,11:45 am,630) 1.10m Jumper  II.1,26,recvlWUTXZuXFIx6n
29754,686,3936,WEC GRAND ARENA,1:00 pm,645) $1000 1.35m Jumper II.1,66,recwsEFjXvqIEH9PW
0,689,3948,INDOOR 2,,Ring Maintenance,0,recwtrWdYAG66De3p
29931,689,3948,INDOOR 2,2:00pm,49) $350 Young Hunter 2'9,7,recyitVrmv64S0hn9
0,687,4219,INDOOR 6,,Ring Maintenance,0,reczdfkt0yaiXOUEZ
29936,689,3948,INDOOR 2,3:00 pm,54) $350 Young Hunter 3',6,reczoOLIZGqaOtGJl
