status,entry_go_time,class_no,entry_order,entry_no,horse_display,rider,trainer_display,ring_no,ring_day_no,pace_seconds,n_gone,elapsed_seconds,source,class_oog,class_start_times,record_id
inactive,07:34:00,33348,3,1049,Pedro,Aria Waxman,CWF,685,4224,120,,,class_oog.php|catalyst.hs_class_start_times,,,recEjFF1znOlQHFc0
inactive,07:34:00,33348,3,1049,Pedro,Aria Waxman,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,reci5bRLl4tUeXc2d
inactive,08:24:00,33348,28,2668,Curtis,Josephine Demmo,CWF,685,4224,120,,,class_oog.php|catalyst.hs_class_start_times,,,recwvZK3DsTachmKc
inactive,08:34:00,33348,33,2668,Curtis,Josephine Demmo,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recWiHQICuUVO0TXE
inactive,13:18:00,29754,10,1038,Bee,Carsyn Korotkin,CWF,686,3936,120,,,update_schedule_staging+class_oog,,,recPcAmdwKAgNoyAF
upcoming,13:26:00,29754,14,1038,Bee,Carsyn Korotkin,CWF,686,3936,120,,,update_schedule_staging+class_oog,recYhTwmPBVJxyTXy,recYGZDPGF4a1q3pB,recha1Rj31Xz3hUtv
inactive,08:00:00,29855,1,227,Snoop,Tanner Korotkin,CWF,686,3936,120,,,update_schedule_staging+class_oog,,,recP1YsxMt4h209h2
upcoming,08:00:00,29855,1,227,Snoop,Tanner Korotkin,CWF,686,3936,120,,,update_schedule_staging+class_oog,recPvSWAMjSIFUJp6,recxwDZHxSZXCEiQO,recpWRvazbMYrfrjJ
inactive,08:24:00,29855,13,226,Kinmar,Tanner Korotkin,CWF,686,3936,120,,,update_schedule_staging+class_oog,,,recSOGwBEpuj2o0pw
upcoming,08:26:00,29855,14,226,Kinmar,Tanner Korotkin,CWF,686,3936,120,,,update_schedule_staging+class_oog,recNu0WzuLJ0Iq6FQ,recxwDZHxSZXCEiQO,recSakjrh6xMgiCji
inactive,09:45:00,29748,1,1042,Maiki,Tanner Korotkin,CWF,687,4219,120,,,update_schedule_staging+class_oog,,,rec6algYPcvbVoTCt
upcoming,09:45:00,29748,1,1042,Maiki,Tanner Korotkin,CWF,687,4219,120,,,update_schedule_staging+class_oog,rec4w9Z7qnRKWAlnz,recv5tM8WRsJXD1XE,recqtrd4aPklR14AR
upcoming,09:47:00,29748,2,1045,Q,Tanner Korotkin,CWF,687,4219,120,,,update_schedule_staging+class_oog,recf6VLGX7W5V6Z3X,recv5tM8WRsJXD1XE,recJPpEUR3sIngjar
inactive,09:47:00,29748,2,1045,Q,Tanner Korotkin,CWF,687,4219,120,,,update_schedule_staging+class_oog,,,recyXDYn6UCG8Geeo
inactive,13:38:00,29784,5,1296,Calou,Tanner Korotkin,CWF,687,4219,120,,,update_schedule_staging+class_oog,,,rec6tw3t8zUxitqqv
upcoming,13:53:00,29784,5,1296,Calou,Tanner Korotkin,CWF,687,4219,120,,,update_schedule_staging+class_oog,rec1xWZ7ox81vAZL6,reclW8bG9Gz0PIkst,recd7wbUyDHn5bZOA
inactive,07:30:00,33347,1,1041,Elliot,Tanner Korotkin,CWF,742,4232,120,,,update_schedule_staging+class_oog,,,recGKGx9Sxck5sY7R
inactive,07:32:00,33347,2,1048,Tommy,Kate Marisch,CWF,742,4232,120,,,update_schedule_staging+class_oog,,,recdBvDYEokiXLnAF
inactive,07:34:00,33347,3,1049,Pedro,Aria Waxman,CWF,742,4232,120,,,update_schedule_staging+class_oog,,,recpdjzif3Xi1Gx3E
inactive,08:40:00,33347,36,2668,Curtis,Josephine Demmo,CWF,742,4232,120,,,update_schedule_staging+class_oog,,,recJ5vrFjqcHKwjn2
upcoming,07:30:00,33348,1,1041,Elliot,Tanner Korotkin,CWF,742,4232,120,,,update_schedule_staging+class_oog,recIMRgrABNRlSpY8,rec1QO83OvghMchxN,recbCs8yEIZbDsPbl
upcoming,07:32:00,33348,2,1048,Tommy,Kate Marisch,CWF,742,4232,120,,,update_schedule_staging+class_oog,recFtq0YR5RqxuhTT,rec1QO83OvghMchxN,recmw4fOpC8sBooZf
upcoming,07:34:00,33348,3,1049,Pedro,Aria Waxman,CWF,742,4232,120,,,update_schedule_staging+class_oog,recRKkdzg8HuuYPln,rec1QO83OvghMchxN,rec1cHqbrQtqMaDnp
upcoming,08:34:00,33348,33,2668,Curtis,Josephine Demmo,CWF,742,4232,120,,,update_schedule_staging+class_oog,reckfPFMP2GLv639f,rec1QO83OvghMchxN,recRYaod06ECGVqYP
