record_id,show_no,rider,rider_display,tag,active
rec05p5hQBPfpTp9d,14907,Angela Gais,Angela,,1
rec07LS8TvgJcQ6tb,14907,Khloe Kerins,Khloe,,1
rec0FUCzNUyfQf4RT,14907,Sydney Shelby,Sydney,,1
rec0G59EnQRnDao5X,14907,Stella Kraemer,Stella,,1
rec0TKCGVZiPGwRC9,14907,David Miller,David,,1
rec0YrrKHcxLsnQPN,14907,Azhara Chin,Azhara,,1
rec0fQwv2Q9zJck2B,14907,Angela R. Calkins,Angela,,1
rec0kl9lhDCTw4bxG,14907,Liliana Nora Menesi,Liliana,,1
rec0lADouwqghMAAd,14907,Sabine Clark,Sabine,,1
rec0lXJIFvHi7Oj5p,14907,Wilton J. Porter,Wilton,,1
rec0otuCDdzkSG3ar,14907,Mary Jo Engstrom,Mary,,1
rec0wQobR70eQk97e,14907,Antonio J. Martinez,Antonio,,1
rec0x9rLbWUGqvGPz,14907,Zendaya Horner Brown,Zendaya,,1
rec0y8f9IiGiQ5gl4,14907,Lauren Flesher,Lauren,,1
rec12lzOQKtI0Qkv5,14907,Sierra Montgomery,Sierra,,1
rec19k29zjaRFLbaR,14907,Wendy B. Rice,Wendy,,1
rec1AU4meQ1ffufH5,14907,Liza Guettler,Liza,,1
rec1FJm9aRkMpJgMG,14907,Samantha Corda-Mcgreevy,Samantha,,1
rec1Mofs0ZZD7KgnX,14907,Jose Montenegro,Jose,,1
rec1N6F0tZ2Z6a0dQ,14907,Lola Applebaum,Lola,,1
rec1SXsCfn8ggGYct,14907,Diego Gaspar De Goes,Diego,,1
rec1mLXyML08iCPpy,14907,Anne C. Hormel,Anne,,1
rec1rRr9PfJ44u4mU,14907,Marli Scott,Marli,,1
rec1s3YEvz6wRp9fD,14907,Daina Greene,Daina,,1
rec1xNTEGa3rUIdFf,14907,Stella Gavin,Stella,,1
rec22CzM2EIb7egZV,14907,Paige Jones,Paige,,1
rec24xHDnlr7Kj1lY,14907,Katherine Nunez,Katherine,,1
rec26sQvra3iWNE6x,14907,Ashley Wallace,Ashley,,1
rec292OiOlkSoYFMx,14907,Farrah Whiddon,Farrah,,1
rec29Ue0IrWbswtu3,14907,Linden Nguyen,Linden,,1
rec2JzAL6u5FpzJlI,14907,Madison Rose,Madison,,1
rec2R7jOxeWvL99ey,14907,Avery Rush,Avery,,1
rec2VxNAPxqPlbevF,14907,Faith Allen,Faith,,1
rec2ZzSAukMmfPita,14907,Braeden Simons,Braeden,,1
rec2ddD10LiZx0odI,14907,Melissa A. Hirt,Melissa,,1
rec2dwRqXzc72yGn6,14907,Lainey Lovell,Lainey,,1
rec2fj8BKdynfDg3D,14907,Evelyn Byron,Evelyn,,1
rec2gmXjnMZbtz4xW,14907,Jodie Camberg,Jodie,,1
rec2hEDYAViWnSl7c,14907,Dana Narayanappa,Dana,,1
rec2jDKTGlikuVdSU,14907,Gabriel Zampieri,Gabriel,,1
rec2kTgEMh08Ob6b3,14907,Kendall King,Kendall,,1
rec2kwFzPKreJnevI,14907,Kylie J. Geddes,Kylie,,1
